District,State,Latitude,Longitude
Srikakulam,Andhra Pradesh,18.2193,83.9543
Srikakulam,Andhra Pradesh,18.219,83.9543
Srikakulam,Andhra Pradesh,18.219,83.9535
Srikakulam,Andhra Pradesh,18.2188,83.9535
Srikakulam,Andhra Pradesh,18.2188,83.9529
Srikakulam,Andhra Pradesh,18.2185,83.9529
Srikakulam,Andhra Pradesh,18.2185,83.9524
Srikakulam,Andhra Pradesh,18.2182,83.9524
Srikakulam,Andhra Pradesh,18.2182,83.9518
Srikakulam,Andhra Pradesh,18.2179,83.9518
Srikakulam,Andhra Pradesh,18.2179,83.9515
Srikakulam,Andhra Pradesh,18.2176,83.9515
Srikakulam,Andhra Pradesh,18.2176,83.9512
Srikakulam,Andhra Pradesh,18.2174,83.9512
Srikakulam,Andhra Pradesh,18.2174,83.951
Srikakulam,Andhra Pradesh,18.2171,83.951
Srikakulam,Andhra Pradesh,18.2171,83.9507
Srikakulam,Andhra Pradesh,18.2168,83.9507
Srikakulam,Andhra Pradesh,18.2168,83.9496
Srikakulam,Andhra Pradesh,18.2171,83.9496
Srikakulam,Andhra Pradesh,18.2171,83.949
Srikakulam,Andhra Pradesh,18.2168,83.949
Srikakulam,Andhra Pradesh,18.2168,83.9488
Srikakulam,Andhra Pradesh,18.2162,83.9488
Srikakulam,Andhra Pradesh,18.2162,83.9482
Srikakulam,Andhra Pradesh,18.216,83.9482
Srikakulam,Andhra Pradesh,18.216,83.9471
Srikakulam,Andhra Pradesh,18.2157,83.9471
Srikakulam,Andhra Pradesh,18.2157,83.9463
Srikakulam,Andhra Pradesh,18.2154,83.9463
Srikakulam,Andhra Pradesh,18.2154,83.9449
Srikakulam,Andhra Pradesh,18.2151,83.9449
Srikakulam,Andhra Pradesh,18.2151,83.9446
Srikakulam,Andhra Pradesh,18.2149,83.9446
Srikakulam,Andhra Pradesh,18.2149,83.944
Srikakulam,Andhra Pradesh,18.2146,83.944
Srikakulam,Andhra Pradesh,18.2146,83.9432
Srikakulam,Andhra Pradesh,18.2143,83.9432
Srikakulam,Andhra Pradesh,18.2143,83.9424
Srikakulam,Andhra Pradesh,18.214,83.9424
Srikakulam,Andhra Pradesh,18.214,83.9388
Srikakulam,Andhra Pradesh,18.2143,83.9388
Srikakulam,Andhra Pradesh,18.2143,83.9365
Srikakulam,Andhra Pradesh,18.214,83.9365
