District,State,Latitude,Longitude
Barpeta,Assam,26.7856,91.0121
Barpeta,Assam,26.7854,91.0138
Barpeta,Assam,26.7809,91.0309
Barpeta,Assam,26.779,91.0415
Barpeta,Assam,26.7795,91.054
Barpeta,Assam,26.7823,91.0576
Barpeta,Assam,26.8005,91.0756
Barpeta,Assam,26.8184,91.0891
Barpeta,Assam,26.8198,91.0966
Barpeta,Assam,26.8142,91.1058
Barpeta,Assam,26.8122,91.1169
Barpeta,Assam,26.8085,91.1297
Barpeta,Assam,26.809,91.144
Barpeta,Assam,26.8114,91.1803
Barpeta,Assam,26.8087,91.2023
Barpeta,Assam,26.8089,91.2173
Barpeta,Assam,26.809,91.2369
Barpeta,Assam,26.8063,91.2491
Barpeta,Assam,26.805,91.2623
Barpeta,Assam,26.7969,91.2769
Barpeta,Assam,26.7889,91.2896
Barpeta,Assam,26.7852,91.2951
Barpeta,Assam,26.7819,91.2943
Barpeta,Assam,26.7762,91.2961
Barpeta,Assam,26.7645,91.2956
Barpeta,Assam,26.747,91.2915
Barpeta,Assam,26.7481,91.2976
Barpeta,Assam,26.7368,91.2998
Barpeta,Assam,26.7313,91.2977
Barpeta,Assam,26.7257,91.2976
Barpeta,Assam,26.7061,91.2924
Barpeta,Assam,26.682,91.288
Barpeta,Assam,26.6663,91.278
Barpeta,Assam,26.6647,91.2659
Barpeta,Assam,26.6585,91.2565
Barpeta,Assam,26.6443,91.2434
Barpeta,Assam,26.6322,91.2428
Barpeta,Assam,26.6273,91.2447
Barpeta,Assam,26.6233,91.2441
Barpeta,Assam,26.6212,91.2378
Barpeta,Assam,26.6174,91.2374
Barpeta,Assam,26.6136,91.2387
Barpeta,Assam,26.6207,91.264
Barpeta,Assam,26.5981,91.2551
Barpeta,Assam,26.5927,91.2515
Barpeta,Assam,26.5917,91.2451
Barpeta,Assam,26.5922,91.2406
Barpeta,Assam,26.5887,91.2387
Barpeta,Assam,26.5852,91.2459
Barpeta,Assam,26.5807,91.2904
Barpeta,Assam,26.5725,91.2919
