District,State,Latitude,Longitude
Araria,Bihar,26.45,87.0939
Araria,Bihar,26.4368,87.1116
Araria,Bihar,26.423,87.1301
Araria,Bihar,26.4146,87.1415
Araria,Bihar,26.4044,87.1637
Araria,Bihar,26.4038,87.165
Araria,Bihar,26.403,87.1734
Araria,Bihar,26.4051,87.1915
Araria,Bihar,26.414,87.1888
Araria,Bihar,26.4133,87.2038
Araria,Bihar,26.4132,87.2054
Araria,Bihar,26.4128,87.2138
Araria,Bihar,26.4101,87.2145
Araria,Bihar,26.4097,87.2139
Araria,Bihar,26.4094,87.2139
Araria,Bihar,26.408,87.2167
Araria,Bihar,26.4064,87.2197
Araria,Bihar,26.4029,87.2214
Araria,Bihar,26.4055,87.2261
Araria,Bihar,26.4056,87.2262
Araria,Bihar,26.4084,87.2264
Araria,Bihar,26.4085,87.2276
Araria,Bihar,26.41,87.2287
Araria,Bihar,26.4105,87.2286
Araria,Bihar,26.4106,87.2291
Araria,Bihar,26.411,87.2293
Araria,Bihar,26.4113,87.2296
Araria,Bihar,26.4116,87.2291
Araria,Bihar,26.4121,87.2304
Araria,Bihar,26.4124,87.2312
Araria,Bihar,26.4128,87.2312
Araria,Bihar,26.4133,87.2312
Araria,Bihar,26.414,87.2476
Araria,Bihar,26.414,87.2477
Araria,Bihar,26.4136,87.2504
Araria,Bihar,26.4125,87.2503
Araria,Bihar,26.4124,87.2504
Araria,Bihar,26.4091,87.2525
Araria,Bihar,26.4101,87.2559
Araria,Bihar,26.4109,87.2587
Araria,Bihar,26.4078,87.2642
Araria,Bihar,26.4053,87.2686
Araria,Bihar,26.4053,87.2686
Araria,Bihar,26.3908,87.2681
Araria,Bihar,26.3863,87.2668
Araria,Bihar,26.3862,87.2668
Araria,Bihar,26.3744,87.2683
Araria,Bihar,26.3736,87.2684
Araria,Bihar,26.3723,87.2748
Araria,Bihar,26.3731,87.2861
Araria,Bihar,26.3734,87.2919
Araria,Bihar,26.3734,87.2919
Araria,Bihar,26.3687,87.2995
Araria,Bihar,26.366,87.3038
Araria,Bihar,26.3683,87.3088
Araria,Bihar,26.3711,87.3148
Araria,Bihar,26.3711,87.3149
Araria,Bihar,26.3711,87.3149
Araria,Bihar,26.3673,87.3159
Araria,Bihar,26.3672,87.3159
Araria,Bihar,26.3599,87.3243
Araria,Bihar,26.3515,87.3383
Araria,Bihar,26.3501,87.3405
Araria,Bihar,26.3475,87.3434
Araria,Bihar,26.3496,87.3472
Araria,Bihar,26.3513,87.3502
Araria,Bihar,26.3561,87.3556
Araria,Bihar,26.3608,87.3609
Araria,Bihar,26.3608,87.3608
Araria,Bihar,26.3718,87.3559
Araria,Bihar,26.3789,87.3572
Araria,Bihar,26.3879,87.3589
Araria,Bihar,26.3966,87.3641
Araria,Bihar,26.3966,87.3641
Araria,Bihar,26.4078,87.3713
Araria,Bihar,26.4067,87.3786
Araria,Bihar,26.413,87.3851
Araria,Bihar,26.4187,87.391
Araria,Bihar,26.4215,87.4143
Araria,Bihar,26.4224,87.4216
Araria,Bihar,26.4224,87.4229
Araria,Bihar,26.422,87.4302
Araria,Bihar,26.4245,87.4338
Araria,Bihar,26.4327,87.4455
Araria,Bihar,26.4389,87.4647
Araria,Bihar,26.4389,87.4648
Araria,Bihar,26.4401,87.4691
Araria,Bihar,26.437,87.4871
Araria,Bihar,26.4367,87.4885
Araria,Bihar,26.4351,87.4982
Araria,Bihar,26.4306,87.5189
Araria,Bihar,26.4207,87.5393
Araria,Bihar,26.4182,87.55
Araria,Bihar,26.4054,87.5553
Araria,Bihar,26.3968,87.5736
Araria,Bihar,26.3922,87.5902
Araria,Bihar,26.3903,87.5906
Araria,Bihar,26.388,87.5909
Araria,Bihar,26.3822,87.5897
Araria,Bihar,26.3818,87.5897
Araria,Bihar,26.3806,87.6084
Araria,Bihar,26.3898,87.6146
Araria,Bihar,26.3935,87.6304
Araria,Bihar,26.3936,87.6309
Araria,Bihar,26.3933,87.6458
Araria,Bihar,26.3931,87.6459
Araria,Bihar,26.3932,87.6428
Araria,Bihar,26.3933,87.6386
Araria,Bihar,26.3906,87.6424
Araria,Bihar,26.3872,87.6437
Araria,Bihar,26.3848,87.6424
Araria,Bihar,26.3828,87.6399
Araria,Bihar,26.382,87.6373
Araria,Bihar,26.3852,87.6309
Araria,Bihar,26.3857,87.6277
Araria,Bihar,26.3836,87.6246
Araria,Bihar,26.3805,87.6235
Araria,Bihar,26.3752,87.6293
Araria,Bihar,26.3652,87.6225
Araria,Bihar,26.3635,87.6173
Araria,Bihar,26.3613,87.6138
Araria,Bihar,26.3527,87.6141
Araria,Bihar,26.3508,87.6109
Araria,Bihar,26.3536,87.601
Araria,Bihar,26.3512,87.5987
Araria,Bihar,26.3409,87.604
Araria,Bihar,26.3353,87.612
Araria,Bihar,26.3303,87.6117
Araria,Bihar,26.328,87.6149
Araria,Bihar,26.3233,87.6151
Araria,Bihar,26.3236,87.623
Araria,Bihar,26.3174,87.6268
Araria,Bihar,26.3139,87.6323
Araria,Bihar,26.3119,87.639
Araria,Bihar,26.3058,87.6504
Araria,Bihar,26.2924,87.6529
Araria,Bihar,26.2913,87.6477
Araria,Bihar,26.2886,87.6456
Araria,Bihar,26.2858,87.6458
Araria,Bihar,26.2834,87.6481
Araria,Bihar,26.2774,87.6491
Araria,Bihar,26.2728,87.6608
Araria,Bihar,26.2679,87.6606
Araria,Bihar,26.2643,87.6528
Araria,Bihar,26.2614,87.6538
Araria,Bihar,26.2613,87.6581
Araria,Bihar,26.2559,87.6591
Araria,Bihar,26.2519,87.6612
Araria,Bihar,26.2477,87.6617
Araria,Bihar,26.244,87.6604
Araria,Bihar,26.2399,87.662
Araria,Bihar,26.2327,87.6729
Araria,Bihar,26.2243,87.6761
Araria,Bihar,26.2222,87.6788
Araria,Bihar,26.2167,87.6788
Araria,Bihar,26.2162,87.6817
Araria,Bihar,26.2131,87.6833
Araria,Bihar,26.2091,87.6838
Araria,Bihar,26.2022,87.688
Araria,Bihar,26.1976,87.6894
Araria,Bihar,26.1931,87.6879
Araria,Bihar,26.1907,87.6829
Araria,Bihar,26.192,87.6792
Araria,Bihar,26.1878,87.6762
Araria,Bihar,26.183,87.6755
Araria,Bihar,26.1782,87.6779
Araria,Bihar,26.1741,87.6881
Araria,Bihar,26.1712,87.6904
Araria,Bihar,26.1681,87.6909
Araria,Bihar,26.1656,87.6898
Araria,Bihar,26.1658,87.6842
Araria,Bihar,26.1651,87.6773
Araria,Bihar,26.1567,87.6778
Araria,Bihar,26.156,87.681
Araria,Bihar,26.1502,87.6783
Araria,Bihar,26.1381,87.6779
Araria,Bihar,26.1385,87.6743
Araria,Bihar,26.1288,87.6765
Araria,Bihar,26.1266,87.674
Araria,Bihar,26.1184,87.675
Araria,Bihar,26.1109,87.671
Araria,Bihar,26.1079,87.6687
Araria,Bihar,26.1047,87.6728
Araria,Bihar,26.1011,87.6758
Araria,Bihar,26.0958,87.6698
Araria,Bihar,26.0954,87.6658
Araria,Bihar,26.0907,87.6663
Araria,Bihar,26.0831,87.6648
Araria,Bihar,26.0825,87.6604
Araria,Bihar,26.0845,87.6517
Araria,Bihar,26.0871,87.6485
Araria,Bihar,26.0885,87.6455
Araria,Bihar,26.0888,87.6427
Araria,Bihar,26.0854,87.642
Araria,Bihar,26.086,87.6368
Araria,Bihar,26.085,87.632
Araria,Bihar,26.0855,87.6266
Araria,Bihar,26.0843,87.6226
Araria,Bihar,26.0814,87.622
Araria,Bihar,26.0762,87.6308
Araria,Bihar,26.0744,87.6305
Araria,Bihar,26.0754,87.6241
Araria,Bihar,26.0728,87.6236
Araria,Bihar,26.0723,87.621
Araria,Bihar,26.067,87.6217
Araria,Bihar,26.0662,87.6163
Araria,Bihar,26.0616,87.6142
Araria,Bihar,26.0602,87.6128
Araria,Bihar,26.0597,87.6095
Araria,Bihar,26.0572,87.609
Araria,Bihar,26.0556,87.6117
Araria,Bihar,26.0515,87.6119
Araria,Bihar,26.0461,87.62
Araria,Bihar,26.0425,87.6213
Araria,Bihar,26.0313,87.6169
Araria,Bihar,26.0287,87.6187
Araria,Bihar,26.0262,87.6187
Araria,Bihar,26.0239,87.6156
Araria,Bihar,26.0233,87.6118
Araria,Bihar,26.021,87.6083
Araria,Bihar,26.0222,87.595
Araria,Bihar,26.0174,87.5936
Araria,Bihar,26.0149,87.5877
Araria,Bihar,26.0123,87.5769
Araria,Bihar,26.01,87.5704
Araria,Bihar,26.0008,87.5546
Araria,Bihar,25.9931,87.5529
Araria,Bihar,25.9858,87.554
Araria,Bihar,25.9819,87.544
Araria,Bihar,25.9816,87.533
Araria,Bihar,25.9809,87.5305
Araria,Bihar,25.9777,87.5289
Araria,Bihar,25.9799,87.5255
Araria,Bihar,25.9818,87.5244
Araria,Bihar,25.9828,87.5221
Araria,Bihar,25.9816,87.5208
Araria,Bihar,25.9792,87.5214
Araria,Bihar,25.9769,87.5192
Araria,Bihar,25.9774,87.5078
Araria,Bihar,25.974,87.5109
Araria,Bihar,25.9708,87.5109
Araria,Bihar,25.9721,87.5084
Araria,Bihar,25.9872,87.4962
Araria,Bihar,25.9844,87.4907
Araria,Bihar,25.9859,87.4886
Araria,Bihar,25.983,87.4884
Araria,Bihar,25.9737,87.4823
Araria,Bihar,25.9743,87.4778
Araria,Bihar,25.976,87.4744
Araria,Bihar,25.9791,87.4694
Araria,Bihar,25.9832,87.4661
Araria,Bihar,25.9864,87.4607
Araria,Bihar,25.9873,87.4553
Araria,Bihar,25.9822,87.4447
Araria,Bihar,25.9819,87.4404
Araria,Bihar,25.988,87.4236
Araria,Bihar,25.9908,87.4187
Araria,Bihar,25.9879,87.4132
Araria,Bihar,25.9887,87.4088
Araria,Bihar,25.9877,87.4079
Araria,Bihar,25.99,87.4051
Araria,Bihar,25.9861,87.4046
Araria,Bihar,25.9864,87.3968
Araria,Bihar,25.985,87.3953
Araria,Bihar,25.9827,87.3966
Araria,Bihar,25.9821,87.3999
Araria,Bihar,25.9814,87.3999
Araria,Bihar,25.9761,87.3975
Araria,Bihar,25.9745,87.3959
Araria,Bihar,25.967,87.3928
