District,State,Latitude,Longitude
Bastar,Chhattisgarh,20.1538,81.6123
Bastar,Chhattisgarh,20.1384,81.6377
Bastar,Chhattisgarh,20.1326,81.6533
Bastar,Chhattisgarh,20.1302,81.6576
Bastar,Chhattisgarh,20.1266,81.6685
Bastar,Chhattisgarh,20.126,81.6707
Bastar,Chhattisgarh,20.1256,81.6723
Bastar,Chhattisgarh,20.1257,81.6751
Bastar,Chhattisgarh,20.1257,81.6789
Bastar,Chhattisgarh,20.1334,81.7076
Bastar,Chhattisgarh,20.135,81.7175
Bastar,Chhattisgarh,20.1385,81.7209
Bastar,Chhattisgarh,20.152,81.7252
Bastar,Chhattisgarh,20.154,81.7344
Bastar,Chhattisgarh,20.159,81.7468
Bastar,Chhattisgarh,20.1587,81.7506
Bastar,Chhattisgarh,20.1529,81.7635
Bastar,Chhattisgarh,20.152,81.7707
Bastar,Chhattisgarh,20.1529,81.7834
Bastar,Chhattisgarh,20.154,81.7898
Bastar,Chhattisgarh,20.1548,81.7944
Bastar,Chhattisgarh,20.1567,81.8011
Bastar,Chhattisgarh,20.1606,81.8069
Bastar,Chhattisgarh,20.1653,81.8094
Bastar,Chhattisgarh,20.166,81.8153
Bastar,Chhattisgarh,20.1652,81.8197
Bastar,Chhattisgarh,20.163,81.8265
Bastar,Chhattisgarh,20.1608,81.8386
Bastar,Chhattisgarh,20.1595,81.8406
Bastar,Chhattisgarh,20.1414,81.8404
Bastar,Chhattisgarh,20.1157,81.8431
Bastar,Chhattisgarh,20.1069,81.8429
Bastar,Chhattisgarh,20.101,81.8457
Bastar,Chhattisgarh,20.0839,81.8648
Bastar,Chhattisgarh,20.0794,81.8672
Bastar,Chhattisgarh,20.0729,81.8672
Bastar,Chhattisgarh,20.0698,81.8682
Bastar,Chhattisgarh,20.0536,81.8665
Bastar,Chhattisgarh,20.0509,81.8678
Bastar,Chhattisgarh,20.0462,81.8738
Bastar,Chhattisgarh,20.036,81.8665
Bastar,Chhattisgarh,20.0352,81.8661
Bastar,Chhattisgarh,20.0339,81.8655
Bastar,Chhattisgarh,20.0286,81.8646
Bastar,Chhattisgarh,20.0234,81.8602
Bastar,Chhattisgarh,20.0164,81.8589
Bastar,Chhattisgarh,20.0091,81.8576
Bastar,Chhattisgarh,20.0035,81.8555
Bastar,Chhattisgarh,19.9972,81.8521
Bastar,Chhattisgarh,19.9961,81.8516
Bastar,Chhattisgarh,19.9898,81.851
Bastar,Chhattisgarh,19.9826,81.8503
Bastar,Chhattisgarh,19.9704,81.8469
Bastar,Chhattisgarh,19.9551,81.8403
Bastar,Chhattisgarh,19.9501,81.8373
Bastar,Chhattisgarh,19.9455,81.839
Bastar,Chhattisgarh,19.9414,81.8465
Bastar,Chhattisgarh,19.9386,81.8488
Bastar,Chhattisgarh,19.923,81.8457
Bastar,Chhattisgarh,19.9149,81.8458
Bastar,Chhattisgarh,19.9081,81.8496
