District,State,Latitude,Longitude
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2921,72.9905
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2931,73.0036
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2924,73.0105
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2905,73.0173
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2909,73.0205
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2927,73.0218
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2971,73.0222
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3021,73.0206
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3075,73.0205
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3155,73.0176
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3174,73.0198
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3159,73.0223
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3128,73.0247
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3038,73.027
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2941,73.0265
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2923,73.0298
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2906,73.0373
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2902,73.042
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2911,73.0442
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2924,73.0459
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3045,73.0476
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3166,73.0477
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.323,73.0505
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3252,73.0551
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3257,73.062
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3261,73.0667
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3272,73.0715
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3296,73.0753
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3291,73.0827
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3261,73.0863
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3265,73.0886
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3268,73.0909
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3351,73.0974
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3399,73.0992
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.356,73.1013
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3585,73.1021
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3597,73.1025
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3604,73.1034
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3605,73.1054
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.3607,73.1074
