District,State,Latitude,Longitude
Daman,Daman and Diu,20.3711,72.8215
Daman,Daman and Diu,20.3713,72.8215
Daman,Daman and Diu,20.3713,72.8213
Daman,Daman and Diu,20.3715,72.8213
Daman,Daman and Diu,20.3715,72.8215
Daman,Daman and Diu,20.3729,72.8215
Daman,Daman and Diu,20.3729,72.8218
Daman,Daman and Diu,20.3738,72.8218
Daman,Daman and Diu,20.3738,72.8221
Daman,Daman and Diu,20.3743,72.8221
Daman,Daman and Diu,20.3743,72.8224
Daman,Daman and Diu,20.3749,72.8224
Daman,Daman and Diu,20.3749,72.8226
Daman,Daman and Diu,20.3754,72.8226
Daman,Daman and Diu,20.3754,72.8229
Daman,Daman and Diu,20.3763,72.8229
Daman,Daman and Diu,20.3762,72.8232
Daman,Daman and Diu,20.3771,72.8232
Daman,Daman and Diu,20.3771,72.8235
Daman,Daman and Diu,20.3782,72.8235
Daman,Daman and Diu,20.3782,72.8238
Daman,Daman and Diu,20.379,72.8238
Daman,Daman and Diu,20.379,72.824
Daman,Daman and Diu,20.3799,72.824
Daman,Daman and Diu,20.3799,72.8243
Daman,Daman and Diu,20.3804,72.8243
Daman,Daman and Diu,20.3804,72.8246
Daman,Daman and Diu,20.3812,72.8246
Daman,Daman and Diu,20.3812,72.8249
Daman,Daman and Diu,20.3821,72.8249
Daman,Daman and Diu,20.3821,72.8251
Daman,Daman and Diu,20.3826,72.8251
Daman,Daman and Diu,20.3826,72.8254
Daman,Daman and Diu,20.3835,72.8254
Daman,Daman and Diu,20.3835,72.8257
Daman,Daman and Diu,20.384,72.8257
Daman,Daman and Diu,20.384,72.826
Daman,Daman and Diu,20.3846,72.826
Daman,Daman and Diu,20.3846,72.8262
Daman,Daman and Diu,20.3851,72.8262
Daman,Daman and Diu,20.3851,72.8265
Daman,Daman and Diu,20.3857,72.8265
Daman,Daman and Diu,20.3857,72.8268
Daman,Daman and Diu,20.3868,72.8268
Daman,Daman and Diu,20.3868,72.8271
Daman,Daman and Diu,20.3874,72.8271
Daman,Daman and Diu,20.3874,72.8276
Daman,Daman and Diu,20.3876,72.8276
Daman,Daman and Diu,20.3876,72.8279
Daman,Daman and Diu,20.3885,72.8279
Daman,Daman and Diu,20.3885,72.8276
Daman,Daman and Diu,20.389,72.8276
Daman,Daman and Diu,20.389,72.8274
Daman,Daman and Diu,20.3901,72.8274
Daman,Daman and Diu,20.3901,72.8276
Daman,Daman and Diu,20.3907,72.8276
Daman,Daman and Diu,20.3907,72.8279
Daman,Daman and Diu,20.3921,72.8279
Daman,Daman and Diu,20.3921,72.8282
Daman,Daman and Diu,20.3946,72.8282
Daman,Daman and Diu,20.3946,72.8285
Daman,Daman and Diu,20.4004,72.8285
Daman,Daman and Diu,20.4004,72.8288
Daman,Daman and Diu,20.4035,72.8288
Daman,Daman and Diu,20.4035,72.8285
Daman,Daman and Diu,20.4051,72.8285
Daman,Daman and Diu,20.4051,72.8288
Daman,Daman and Diu,20.4062,72.8288
Daman,Daman and Diu,20.4062,72.829
Daman,Daman and Diu,20.4071,72.829
Daman,Daman and Diu,20.4071,72.8293
Daman,Daman and Diu,20.4082,72.8293
Daman,Daman and Diu,20.4082,72.8296
Daman,Daman and Diu,20.4085,72.8296
Daman,Daman and Diu,20.4085,72.8299
Daman,Daman and Diu,20.409,72.8299
Daman,Daman and Diu,20.409,72.8301
Daman,Daman and Diu,20.4096,72.8301
Daman,Daman and Diu,20.4096,72.8304
Daman,Daman and Diu,20.4099,72.8304
Daman,Daman and Diu,20.4099,72.8307
Daman,Daman and Diu,20.4101,72.8307
Daman,Daman and Diu,20.4101,72.831
Daman,Daman and Diu,20.4104,72.831
Daman,Daman and Diu,20.4104,72.8313
Daman,Daman and Diu,20.4112,72.8313
Daman,Daman and Diu,20.4126,72.8313
Daman,Daman and Diu,20.4126,72.8307
Daman,Daman and Diu,20.4132,72.8307
Daman,Daman and Diu,20.4132,72.8304
Daman,Daman and Diu,20.4135,72.8304
Daman,Daman and Diu,20.4135,72.8301
Daman,Daman and Diu,20.4137,72.8301
