District,State,Latitude,Longitude
Delhi,Delhi,28.8353,77.2173
Delhi,Delhi,28.8135,77.2136
Delhi,Delhi,28.8154,77.1946
Delhi,Delhi,28.8023,77.1944
Delhi,Delhi,28.7953,77.1969
Delhi,Delhi,28.7894,77.2027
Delhi,Delhi,28.7872,77.2085
Delhi,Delhi,28.7864,77.2131
Delhi,Delhi,28.7876,77.2183
Delhi,Delhi,28.7876,77.2247
Delhi,Delhi,28.7837,77.2221
Delhi,Delhi,28.7817,77.2171
Delhi,Delhi,28.7779,77.2209
Delhi,Delhi,28.7724,77.229
Delhi,Delhi,28.7592,77.238
Delhi,Delhi,28.7574,77.2459
Delhi,Delhi,28.7575,77.2485
Delhi,Delhi,28.7528,77.2532
Delhi,Delhi,28.7455,77.2519
Delhi,Delhi,28.7399,77.2562
Delhi,Delhi,28.7381,77.2599
Delhi,Delhi,28.7393,77.2664
Delhi,Delhi,28.7382,77.2711
Delhi,Delhi,28.7344,77.2769
Delhi,Delhi,28.73,77.2807
Delhi,Delhi,28.7239,77.2844
Delhi,Delhi,28.719,77.2837
Delhi,Delhi,28.7125,77.2849
Delhi,Delhi,28.7098,77.2929
Delhi,Delhi,28.713,77.2956
Delhi,Delhi,28.7167,77.3015
Delhi,Delhi,28.7177,77.3062
Delhi,Delhi,28.7172,77.3172
Delhi,Delhi,28.7159,77.3235
Delhi,Delhi,28.7118,77.3217
Delhi,Delhi,28.7036,77.3198
Delhi,Delhi,28.6997,77.3209
Delhi,Delhi,28.6918,77.3276
Delhi,Delhi,28.6852,77.3271
Delhi,Delhi,28.6825,77.3254
Delhi,Delhi,28.6793,77.3179
Delhi,Delhi,28.6716,77.3176
Delhi,Delhi,28.6633,77.3154
Delhi,Delhi,28.6514,77.3153
Delhi,Delhi,28.6467,77.3131
Delhi,Delhi,28.6446,77.3112
Delhi,Delhi,28.6432,77.3136
Delhi,Delhi,28.636,77.321
Delhi,Delhi,28.6314,77.3305
Delhi,Delhi,28.627,77.3342
Delhi,Delhi,28.6219,77.3371
Delhi,Delhi,28.6175,77.3375
Delhi,Delhi,28.6089,77.3362
Delhi,Delhi,28.6067,77.3332
Delhi,Delhi,28.6049,77.3278
Delhi,Delhi,28.6,77.3169
Delhi,Delhi,28.599,77.3099
Delhi,Delhi,28.5969,77.3071
Delhi,Delhi,28.5824,77.2949
Delhi,Delhi,28.5797,77.2936
Delhi,Delhi,28.5667,77.2938
Delhi,Delhi,28.5612,77.2952
Delhi,Delhi,28.5505,77.3031
Delhi,Delhi,28.5437,77.3107
Delhi,Delhi,28.5415,77.3149
Delhi,Delhi,28.5359,77.3215
Delhi,Delhi,28.5241,77.3305
Delhi,Delhi,28.5207,77.334
Delhi,Delhi,28.5157,77.3368
Delhi,Delhi,28.509,77.3377
Delhi,Delhi,28.5111,77.3345
Delhi,Delhi,28.5083,77.329
Delhi,Delhi,28.5035,77.3267
Delhi,Delhi,28.4994,77.3217
Delhi,Delhi,28.4946,77.3149
Delhi,Delhi,28.4907,77.3069
Delhi,Delhi,28.4901,77.3009
Delhi,Delhi,28.4911,77.2963
Delhi,Delhi,28.4963,77.2858
