District,State,Latitude,Longitude
North Goa,Goa,15.7792,73.8799
North Goa,Goa,15.7774,73.8802
North Goa,Goa,15.7703,73.8869
North Goa,Goa,15.7671,73.8868
North Goa,Goa,15.7646,73.8843
North Goa,Goa,15.7567,73.8826
North Goa,Goa,15.7526,73.8802
North Goa,Goa,15.7494,73.8824
North Goa,Goa,15.7473,73.8859
North Goa,Goa,15.7423,73.9086
North Goa,Goa,15.7455,73.9148
North Goa,Goa,15.7454,73.9179
North Goa,Goa,15.7428,73.9242
North Goa,Goa,15.7415,73.9454
North Goa,Goa,15.7326,73.9498
North Goa,Goa,15.7232,73.9508
North Goa,Goa,15.7169,73.9559
North Goa,Goa,15.7113,73.9589
North Goa,Goa,15.7074,73.9578
North Goa,Goa,15.7048,73.956
North Goa,Goa,15.7013,73.9587
North Goa,Goa,15.6967,73.9572
North Goa,Goa,15.695,73.9657
North Goa,Goa,15.6873,73.9713
North Goa,Goa,15.6767,73.9722
North Goa,Goa,15.6684,73.9716
North Goa,Goa,15.6598,73.9757
North Goa,Goa,15.6547,73.9742
North Goa,Goa,15.6497,73.9707
North Goa,Goa,15.6443,73.9693
North Goa,Goa,15.6289,73.976
North Goa,Goa,15.625,73.9814
North Goa,Goa,15.6234,73.9861
North Goa,Goa,15.6206,73.9902
North Goa,Goa,15.6163,73.9929
North Goa,Goa,15.6111,73.9987
North Goa,Goa,15.6091,74.0024
North Goa,Goa,15.6083,74.0078
North Goa,Goa,15.6093,74.0132
North Goa,Goa,15.6046,74.0279
North Goa,Goa,15.6093,74.0356
North Goa,Goa,15.6209,74.0393
North Goa,Goa,15.6227,74.0568
North Goa,Goa,15.6247,74.0677
North Goa,Goa,15.6267,74.0735
North Goa,Goa,15.6262,74.0806
North Goa,Goa,15.639,74.1024
North Goa,Goa,15.6389,74.108
North Goa,Goa,15.6431,74.1126
North Goa,Goa,15.6452,74.1228
North Goa,Goa,15.6503,74.126
North Goa,Goa,15.6502,74.129
North Goa,Goa,15.6471,74.1428
North Goa,Goa,15.6487,74.1469
North Goa,Goa,15.6498,74.155
North Goa,Goa,15.6486,74.1632
North Goa,Goa,15.6524,74.1659
North Goa,Goa,15.6521,74.1734
North Goa,Goa,15.6702,74.1754
North Goa,Goa,15.6714,74.1787
North Goa,Goa,15.6774,74.183
North Goa,Goa,15.681,74.1901
North Goa,Goa,15.6789,74.1977
North Goa,Goa,15.6737,74.1981
North Goa,Goa,15.6721,74.1945
North Goa,Goa,15.6649,74.1963
North Goa,Goa,15.661,74.2115
North Goa,Goa,15.6585,74.212
North Goa,Goa,15.6541,74.2099
North Goa,Goa,15.649,74.2132
North Goa,Goa,15.6503,74.2241
North Goa,Goa,15.653,74.2288
North Goa,Goa,15.6545,74.2284
North Goa,Goa,15.6589,74.2241
North Goa,Goa,15.6665,74.2316
North Goa,Goa,15.6619,74.2368
North Goa,Goa,15.6659,74.2419
North Goa,Goa,15.6656,74.245
North Goa,Goa,15.6542,74.2553
North Goa,Goa,15.6468,74.2565
North Goa,Goa,15.6339,74.2572
North Goa,Goa,15.6296,74.2545
North Goa,Goa,15.6238,74.2525
North Goa,Goa,15.6231,74.2544
North Goa,Goa,15.6245,74.2594
North Goa,Goa,15.6229,74.2625
North Goa,Goa,15.617,74.2675
North Goa,Goa,15.6096,74.2685
North Goa,Goa,15.6016,74.2655
North Goa,Goa,15.5902,74.2652
North Goa,Goa,15.5826,74.2564
North Goa,Goa,15.5755,74.2574
North Goa,Goa,15.5725,74.2544
North Goa,Goa,15.5658,74.2543
North Goa,Goa,15.5608,74.2646
North Goa,Goa,15.5634,74.2676
North Goa,Goa,15.5612,74.2699
North Goa,Goa,15.5543,74.2726
North Goa,Goa,15.5487,74.2789
North Goa,Goa,15.5416,74.2829
North Goa,Goa,15.5342,74.2856
North Goa,Goa,15.526,74.2873
North Goa,Goa,15.5205,74.2828
North Goa,Goa,15.5195,74.2838
North Goa,Goa,15.513,74.2819
North Goa,Goa,15.5059,74.2681
North Goa,Goa,15.5008,74.2608
North Goa,Goa,15.4968,74.2572
North Goa,Goa,15.4895,74.2563
North Goa,Goa,15.4832,74.2373
North Goa,Goa,15.4745,74.2283
North Goa,Goa,15.4681,74.2111
North Goa,Goa,15.465,74.2053
North Goa,Goa,15.4607,74.201
North Goa,Goa,15.4511,74.1956
North Goa,Goa,15.4427,74.193
North Goa,Goa,15.4362,74.1836
North Goa,Goa,15.4408,74.1743
North Goa,Goa,15.4376,74.1516
North Goa,Goa,15.4382,74.1479
