District,State,Latitude,Longitude
Amreli,Gujarat,20.976,71.6387
Amreli,Gujarat,20.976,71.6385
Amreli,Gujarat,20.9757,71.6385
Amreli,Gujarat,20.9757,71.6382
Amreli,Gujarat,20.9751,71.6382
Amreli,Gujarat,20.9751,71.6379
Amreli,Gujarat,20.9749,71.6379
Amreli,Gujarat,20.9749,71.6376
Amreli,Gujarat,20.9746,71.6376
Amreli,Gujarat,20.9746,71.6374
Amreli,Gujarat,20.9743,71.6374
Amreli,Gujarat,20.9743,71.6371
Amreli,Gujarat,20.974,71.6371
Amreli,Gujarat,20.974,71.6368
Amreli,Gujarat,20.9738,71.6368
Amreli,Gujarat,20.9738,71.6365
Amreli,Gujarat,20.9735,71.6365
Amreli,Gujarat,20.9735,71.636
Amreli,Gujarat,20.9732,71.636
Amreli,Gujarat,20.9732,71.6351
Amreli,Gujarat,20.9729,71.6351
Amreli,Gujarat,20.9729,71.6346
Amreli,Gujarat,20.9726,71.6346
Amreli,Gujarat,20.9726,71.6338
Amreli,Gujarat,20.9724,71.6338
Amreli,Gujarat,20.9724,71.6332
Amreli,Gujarat,20.9721,71.6332
Amreli,Gujarat,20.9721,71.6324
Amreli,Gujarat,20.9718,71.6324
Amreli,Gujarat,20.9718,71.6318
Amreli,Gujarat,20.9715,71.6318
Amreli,Gujarat,20.9715,71.631
Amreli,Gujarat,20.9713,71.631
Amreli,Gujarat,20.9713,71.6301
Amreli,Gujarat,20.971,71.6301
Amreli,Gujarat,20.971,71.6293
Amreli,Gujarat,20.9707,71.6293
Amreli,Gujarat,20.9707,71.6285
Amreli,Gujarat,20.9701,71.6285
Amreli,Gujarat,20.9701,71.6282
Amreli,Gujarat,20.9696,71.6282
Amreli,Gujarat,20.9696,71.6279
Amreli,Gujarat,20.9693,71.6279
Amreli,Gujarat,20.9693,71.6265
Amreli,Gujarat,20.969,71.6265
Amreli,Gujarat,20.969,71.6252
Amreli,Gujarat,20.969,71.6251
Amreli,Gujarat,20.9687,71.6251
Amreli,Gujarat,20.9687,71.6243
Amreli,Gujarat,20.9685,71.6243
Amreli,Gujarat,20.9685,71.6235
Amreli,Gujarat,20.9682,71.6235
Amreli,Gujarat,20.9682,71.6229
Amreli,Gujarat,20.9679,71.6229
Amreli,Gujarat,20.9679,71.6221
Amreli,Gujarat,20.9676,71.6221
Amreli,Gujarat,20.9676,71.621
Amreli,Gujarat,20.969,71.621
Amreli,Gujarat,20.969,71.6207
Amreli,Gujarat,20.9696,71.6207
Amreli,Gujarat,20.9696,71.6204
Amreli,Gujarat,20.9699,71.6204
Amreli,Gujarat,20.9699,71.619
Amreli,Gujarat,20.9693,71.619
Amreli,Gujarat,20.9693,71.6188
Amreli,Gujarat,20.969,71.6188
Amreli,Gujarat,20.969,71.6168
Amreli,Gujarat,20.9693,71.6168
Amreli,Gujarat,20.9693,71.6171
Amreli,Gujarat,20.9701,71.6171
Amreli,Gujarat,20.9701,71.6174
Amreli,Gujarat,20.9707,71.6174
Amreli,Gujarat,20.9707,71.6176
Amreli,Gujarat,20.971,71.6176
Amreli,Gujarat,20.9713,71.6176
Amreli,Gujarat,20.9713,71.6179
Amreli,Gujarat,20.9715,71.6179
Amreli,Gujarat,20.9715,71.6182
Amreli,Gujarat,20.9718,71.6182
Amreli,Gujarat,20.9718,71.6185
Amreli,Gujarat,20.9724,71.6185
Amreli,Gujarat,20.9724,71.6188
Amreli,Gujarat,20.9729,71.6188
Amreli,Gujarat,20.9729,71.6185
Amreli,Gujarat,20.974,71.6185
Amreli,Gujarat,20.974,71.6182
Amreli,Gujarat,20.9746,71.6182
Amreli,Gujarat,20.9746,71.6176
Amreli,Gujarat,20.9749,71.6176
Amreli,Gujarat,20.9749,71.6171
Amreli,Gujarat,20.9751,71.6171
Amreli,Gujarat,20.9751,71.6165
Amreli,Gujarat,20.9754,71.6165
Amreli,Gujarat,20.9754,71.616
Amreli,Gujarat,20.9757,71.616
Amreli,Gujarat,20.9757,71.6126
Amreli,Gujarat,20.9754,71.6126
Amreli,Gujarat,20.9754,71.6124
Amreli,Gujarat,20.9751,71.6124
Amreli,Gujarat,20.9751,71.6121
Amreli,Gujarat,20.9749,71.6121
Amreli,Gujarat,20.9749,71.6118
Amreli,Gujarat,20.9746,71.6118
Amreli,Gujarat,20.9746,71.6115
Amreli,Gujarat,20.974,71.6115
Amreli,Gujarat,20.974,71.6113
Amreli,Gujarat,20.9735,71.6113
Amreli,Gujarat,20.9735,71.611
Amreli,Gujarat,20.9729,71.611
Amreli,Gujarat,20.9729,71.6107
Amreli,Gujarat,20.9724,71.6107
Amreli,Gujarat,20.9724,71.6104
Amreli,Gujarat,20.9718,71.6104
Amreli,Gujarat,20.9718,71.6101
Amreli,Gujarat,20.9715,71.6101
Amreli,Gujarat,20.9715,71.6104
Amreli,Gujarat,20.971,71.6104
Amreli,Gujarat,20.971,71.6107
Amreli,Gujarat,20.9704,71.6107
Amreli,Gujarat,20.9704,71.611
Amreli,Gujarat,20.9701,71.611
Amreli,Gujarat,20.9701,71.6113
Amreli,Gujarat,20.9696,71.6113
Amreli,Gujarat,20.9696,71.6115
Amreli,Gujarat,20.9694,71.6115
Amreli,Gujarat,20.9685,71.6115
Amreli,Gujarat,20.9685,71.6118
Amreli,Gujarat,20.9674,71.6118
Amreli,Gujarat,20.9674,71.6113
Amreli,Gujarat,20.9671,71.6113
Amreli,Gujarat,20.9671,71.6104
Amreli,Gujarat,20.9668,71.6104
Amreli,Gujarat,20.9668,71.6096
Amreli,Gujarat,20.9665,71.6096
Amreli,Gujarat,20.9665,71.6085
Amreli,Gujarat,20.9662,71.6085
Amreli,Gujarat,20.9662,71.6082
Amreli,Gujarat,20.966,71.6082
Amreli,Gujarat,20.966,71.6079
Amreli,Gujarat,20.9657,71.6079
Amreli,Gujarat,20.9657,71.6074
Amreli,Gujarat,20.9654,71.6074
Amreli,Gujarat,20.9654,71.6071
Amreli,Gujarat,20.9651,71.6071
Amreli,Gujarat,20.9651,71.6068
Amreli,Gujarat,20.9649,71.6068
Amreli,Gujarat,20.9649,71.6046
Amreli,Gujarat,20.9646,71.6046
Amreli,Gujarat,20.9646,71.6035
Amreli,Gujarat,20.9643,71.6035
Amreli,Gujarat,20.9643,71.601
Amreli,Gujarat,20.9646,71.601
Amreli,Gujarat,20.9646,71.6
Amreli,Gujarat,20.9646,71.5999
Amreli,Gujarat,20.9649,71.5999
Amreli,Gujarat,20.9649,71.599
Amreli,Gujarat,20.9671,71.599
Amreli,Gujarat,20.9671,71.5982
Amreli,Gujarat,20.9674,71.5982
Amreli,Gujarat,20.9674,71.5974
Amreli,Gujarat,20.9668,71.5974
Amreli,Gujarat,20.9668,71.5971
Amreli,Gujarat,20.9665,71.5971
Amreli,Gujarat,20.9665,71.5968
Amreli,Gujarat,20.966,71.5968
Amreli,Gujarat,20.966,71.5965
Amreli,Gujarat,20.9657,71.5965
Amreli,Gujarat,20.9657,71.5963
Amreli,Gujarat,20.9651,71.5963
Amreli,Gujarat,20.9651,71.596
Amreli,Gujarat,20.9649,71.596
Amreli,Gujarat,20.9649,71.5957
Amreli,Gujarat,20.9643,71.5957
Amreli,Gujarat,20.9643,71.5954
Amreli,Gujarat,20.964,71.5954
Amreli,Gujarat,20.964,71.5951
Amreli,Gujarat,20.9635,71.5951
Amreli,Gujarat,20.9635,71.5949
Amreli,Gujarat,20.9632,71.5949
Amreli,Gujarat,20.9632,71.5946
Amreli,Gujarat,20.9626,71.5946
Amreli,Gujarat,20.9626,71.5943
Amreli,Gujarat,20.9624,71.5943
Amreli,Gujarat,20.9624,71.594
Amreli,Gujarat,20.9621,71.594
Amreli,Gujarat,20.9618,71.594
Amreli,Gujarat,20.9618,71.5937
Amreli,Gujarat,20.9615,71.5937
Amreli,Gujarat,20.9615,71.5935
Amreli,Gujarat,20.9613,71.5935
Amreli,Gujarat,20.9613,71.5929
Amreli,Gujarat,20.961,71.5929
Amreli,Gujarat,20.961,71.5926
Amreli,Gujarat,20.9607,71.5926
Amreli,Gujarat,20.9607,71.5921
Amreli,Gujarat,20.9604,71.5921
Amreli,Gujarat,20.9604,71.5891
Amreli,Gujarat,20.9604,71.5874
Amreli,Gujarat,20.9607,71.5874
Amreli,Gujarat,20.9607,71.5868
Amreli,Gujarat,20.9604,71.5868
Amreli,Gujarat,20.9604,71.5865
Amreli,Gujarat,20.9601,71.5865
Amreli,Gujarat,20.9601,71.586
Amreli,Gujarat,20.9599,71.586
Amreli,Gujarat,20.9599,71.5854
Amreli,Gujarat,20.9597,71.5854
Amreli,Gujarat,20.9596,71.5854
Amreli,Gujarat,20.9596,71.5851
Amreli,Gujarat,20.9593,71.5851
Amreli,Gujarat,20.9593,71.5849
Amreli,Gujarat,20.959,71.5849
Amreli,Gujarat,20.959,71.582
Amreli,Gujarat,20.959,71.581
Amreli,Gujarat,20.9588,71.581
Amreli,Gujarat,20.9587,71.5807
Amreli,Gujarat,20.9585,71.5807
Amreli,Gujarat,20.9585,71.5804
Amreli,Gujarat,20.9582,71.5804
Amreli,Gujarat,20.9582,71.5801
Amreli,Gujarat,20.9579,71.5801
Amreli,Gujarat,20.9579,71.5796
Amreli,Gujarat,20.9576,71.5796
Amreli,Gujarat,20.9576,71.5793
Amreli,Gujarat,20.9574,71.5793
Amreli,Gujarat,20.9574,71.579
Amreli,Gujarat,20.9571,71.579
Amreli,Gujarat,20.9571,71.5788
Amreli,Gujarat,20.9568,71.5788
Amreli,Gujarat,20.9568,71.579
Amreli,Gujarat,20.9562,71.579
Amreli,Gujarat,20.9562,71.5793
