District,State,Latitude,Longitude
Ambala,Haryana,30.5811,77.0725
Ambala,Haryana,30.5779,77.0769
Ambala,Haryana,30.5809,77.0825
Ambala,Haryana,30.5837,77.0878
Ambala,Haryana,30.5861,77.0936
Ambala,Haryana,30.5851,77.0994
Ambala,Haryana,30.5825,77.1051
Ambala,Haryana,30.5819,77.1113
Ambala,Haryana,30.5802,77.1171
Ambala,Haryana,30.5727,77.1238
Ambala,Haryana,30.5712,77.1206
Ambala,Haryana,30.5698,77.1151
Ambala,Haryana,30.5682,77.1129
Ambala,Haryana,30.5673,77.1115
Ambala,Haryana,30.5624,77.1137
Ambala,Haryana,30.5574,77.1165
Ambala,Haryana,30.5482,77.1223
Ambala,Haryana,30.5415,77.1311
Ambala,Haryana,30.5386,77.1376
Ambala,Haryana,30.5378,77.1455
Ambala,Haryana,30.5369,77.152
Ambala,Haryana,30.5341,77.1637
Ambala,Haryana,30.5329,77.1695
Ambala,Haryana,30.5305,77.1746
Ambala,Haryana,30.5259,77.1853
Ambala,Haryana,30.5193,77.1908
Ambala,Haryana,30.5118,77.1959
Ambala,Haryana,30.5066,77.1997
Ambala,Haryana,30.4991,77.1996
Ambala,Haryana,30.489,77.2003
Ambala,Haryana,30.4845,77.199
Ambala,Haryana,30.4803,77.2026
Ambala,Haryana,30.4819,77.2119
Ambala,Haryana,30.486,77.2189
Ambala,Haryana,30.4886,77.2268
Ambala,Haryana,30.4875,77.2335
Ambala,Haryana,30.4854,77.2419
Ambala,Haryana,30.4844,77.2518
Ambala,Haryana,30.4814,77.2566
Ambala,Haryana,30.4761,77.2608
Ambala,Haryana,30.471,77.2619
Ambala,Haryana,30.4667,77.2636
Ambala,Haryana,30.464,77.2746
Ambala,Haryana,30.4619,77.2824
Ambala,Haryana,30.4591,77.2937
Ambala,Haryana,30.4566,77.3007
Ambala,Haryana,30.4536,77.3107
Ambala,Haryana,30.4474,77.3092
Ambala,Haryana,30.4421,77.3066
Ambala,Haryana,30.4366,77.3006
Ambala,Haryana,30.4379,77.2908
Ambala,Haryana,30.4323,77.2848
Ambala,Haryana,30.4258,77.2798
Ambala,Haryana,30.4204,77.2736
Ambala,Haryana,30.4166,77.2688
Ambala,Haryana,30.4117,77.2655
Ambala,Haryana,30.4052,77.2633
Ambala,Haryana,30.4025,77.2686
Ambala,Haryana,30.3995,77.2732
Ambala,Haryana,30.3918,77.2704
Ambala,Haryana,30.3804,77.2652
Ambala,Haryana,30.375,77.259
Ambala,Haryana,30.3694,77.2515
Ambala,Haryana,30.3625,77.2381
Ambala,Haryana,30.3566,77.2304
Ambala,Haryana,30.3642,77.2254
Ambala,Haryana,30.3585,77.2122
Ambala,Haryana,30.3559,77.2028
Ambala,Haryana,30.3491,77.1959
Ambala,Haryana,30.3401,77.1903
Ambala,Haryana,30.3333,77.1849
Ambala,Haryana,30.3333,77.1754
Ambala,Haryana,30.3281,77.1704
Ambala,Haryana,30.322,77.1738
Ambala,Haryana,30.3174,77.1771
Ambala,Haryana,30.3107,77.1719
Ambala,Haryana,30.3093,77.1658
Ambala,Haryana,30.3097,77.1582
Ambala,Haryana,30.3018,77.1573
Ambala,Haryana,30.2976,77.1496
Ambala,Haryana,30.2924,77.1428
