District,State,Latitude,Longitude
Rajauri,Jammu and Kashmir,33.5657,74.4521
Rajauri,Jammu and Kashmir,33.5727,74.4769
Rajauri,Jammu and Kashmir,33.576,74.5038
Rajauri,Jammu and Kashmir,33.5788,74.5308
Rajauri,Jammu and Kashmir,33.5791,74.5502
Rajauri,Jammu and Kashmir,33.5717,74.5655
Rajauri,Jammu and Kashmir,33.5682,74.583
Rajauri,Jammu and Kashmir,33.5621,74.6074
Rajauri,Jammu and Kashmir,33.5494,74.628
Rajauri,Jammu and Kashmir,33.5281,74.6435
Rajauri,Jammu and Kashmir,33.515,74.6661
Rajauri,Jammu and Kashmir,33.5073,74.6844
Rajauri,Jammu and Kashmir,33.498,74.6952
Rajauri,Jammu and Kashmir,33.4937,74.7066
Rajauri,Jammu and Kashmir,33.4952,74.7219
Rajauri,Jammu and Kashmir,33.5037,74.7277
Rajauri,Jammu and Kashmir,33.5098,74.7391
Rajauri,Jammu and Kashmir,33.5079,74.7532
Srinagar,Jammu and Kashmir,34.3738,75.4775
Srinagar,Jammu and Kashmir,34.3469,75.4385
Srinagar,Jammu and Kashmir,34.3239,75.4156
Srinagar,Jammu and Kashmir,34.2808,75.4041
Srinagar,Jammu and Kashmir,34.255,75.384
Srinagar,Jammu and Kashmir,34.2205,75.3064
Srinagar,Jammu and Kashmir,34.1975,75.2834
Srinagar,Jammu and Kashmir,34.1487,75.2518
Srinagar,Jammu and Kashmir,34.1343,75.2605
Srinagar,Jammu and Kashmir,34.0884,75.2576
Srinagar,Jammu and Kashmir,34.0477,75.2426
Srinagar,Jammu and Kashmir,34.0453,75.2088
Srinagar,Jammu and Kashmir,34.0367,75.1743
Srinagar,Jammu and Kashmir,34.0367,75.1513
Srinagar,Jammu and Kashmir,34.0396,75.114
Srinagar,Jammu and Kashmir,34.0482,75.068
Srinagar,Jammu and Kashmir,34.0539,75.0565
Srinagar,Jammu and Kashmir,34.0453,75.0249
Srinagar,Jammu and Kashmir,34.0425,74.9967
Srinagar,Jammu and Kashmir,34.0452,74.9961
Srinagar,Jammu and Kashmir,34.0603,74.9764
Srinagar,Jammu and Kashmir,34.0768,74.9572
Srinagar,Jammu and Kashmir,34.1024,74.9333
Srinagar,Jammu and Kashmir,34.1428,74.8959
Srinagar,Jammu and Kashmir,34.1525,74.886
Srinagar,Jammu and Kashmir,34.1665,74.8717
Srinagar,Jammu and Kashmir,34.1779,74.8521
Srinagar,Jammu and Kashmir,34.2,74.8346
Srinagar,Jammu and Kashmir,34.2188,74.8137
Srinagar,Jammu and Kashmir,34.2365,74.8051
Srinagar,Jammu and Kashmir,34.2538,74.7935
Srinagar,Jammu and Kashmir,34.2698,74.787
Srinagar,Jammu and Kashmir,34.2867,74.7913
Srinagar,Jammu and Kashmir,34.3064,74.799
Srinagar,Jammu and Kashmir,34.3207,74.7946
Srinagar,Jammu and Kashmir,34.3402,74.7957
Srinagar,Jammu and Kashmir,34.3499,74.8069
Srinagar,Jammu and Kashmir,34.3533,74.837
Srinagar,Jammu and Kashmir,34.3482,74.8628
Srinagar,Jammu and Kashmir,34.3455,74.8901
Srinagar,Jammu and Kashmir,34.3352,74.9137
Srinagar,Jammu and Kashmir,34.3341,74.9332
Srinagar,Jammu and Kashmir,34.3518,74.9604
Srinagar,Jammu and Kashmir,34.369,75.0
Srinagar,Jammu and Kashmir,34.3741,75.0253
Srinagar,Jammu and Kashmir,34.3863,75.0416
Srinagar,Jammu and Kashmir,34.4133,75.0433
Srinagar,Jammu and Kashmir,34.4395,75.0485
Srinagar,Jammu and Kashmir,34.4578,75.0527
Srinagar,Jammu and Kashmir,34.4664,75.0738
Srinagar,Jammu and Kashmir,34.4644,75.1061
Srinagar,Jammu and Kashmir,34.4456,75.1511
Srinagar,Jammu and Kashmir,34.421,75.177
Srinagar,Jammu and Kashmir,34.4074,75.2002
Srinagar,Jammu and Kashmir,34.3919,75.2199
Srinagar,Jammu and Kashmir,34.3792,75.2421
Srinagar,Jammu and Kashmir,34.368,75.2642
Srinagar,Jammu and Kashmir,34.3617,75.2824
Srinagar,Jammu and Kashmir,34.3578,75.3046
Srinagar,Jammu and Kashmir,34.3777,75.3143
Srinagar,Jammu and Kashmir,34.3898,75.3285
Srinagar,Jammu and Kashmir,34.3953,75.3528
Srinagar,Jammu and Kashmir,34.3876,75.3834
Srinagar,Jammu and Kashmir,34.3776,75.4003
Srinagar,Jammu and Kashmir,34.3724,75.4252
Srinagar,Jammu and Kashmir,34.3723,75.4482
Srinagar,Jammu and Kashmir,34.3753,75.4649
Srinagar,Jammu and Kashmir,34.3797,75.4729
Srinagar,Jammu and Kashmir,34.3738,75.4775
Udhampur,Jammu and Kashmir,33.5152,74.9139
Udhampur,Jammu and Kashmir,33.4976,74.9409
Udhampur,Jammu and Kashmir,33.4796,74.97
Udhampur,Jammu and Kashmir,33.4785,74.99
Udhampur,Jammu and Kashmir,33.4855,75.0162
Udhampur,Jammu and Kashmir,33.4869,75.0402
Udhampur,Jammu and Kashmir,33.4879,75.0688
Udhampur,Jammu and Kashmir,33.4893,75.0944
Udhampur,Jammu and Kashmir,33.4839,75.1121
Udhampur,Jammu and Kashmir,33.4734,75.131
Udhampur,Jammu and Kashmir,33.4674,75.1574
Udhampur,Jammu and Kashmir,33.4649,75.185
Udhampur,Jammu and Kashmir,33.4583,75.1743
Udhampur,Jammu and Kashmir,33.4401,75.1706
Udhampur,Jammu and Kashmir,33.4145,75.1709
Udhampur,Jammu and Kashmir,33.3964,75.1713
Udhampur,Jammu and Kashmir,33.3801,75.1808
Udhampur,Jammu and Kashmir,33.3655,75.2021
Udhampur,Jammu and Kashmir,33.3476,75.2322
Udhampur,Jammu and Kashmir,33.3402,75.2474
Udhampur,Jammu and Kashmir,33.3119,75.2719
Udhampur,Jammu and Kashmir,33.2891,75.2833
Udhampur,Jammu and Kashmir,33.2528,75.2801
Udhampur,Jammu and Kashmir,33.2296,75.2705
Udhampur,Jammu and Kashmir,33.2115,75.2561
Udhampur,Jammu and Kashmir,33.1749,75.2324
Udhampur,Jammu and Kashmir,33.1505,75.2259
Udhampur,Jammu and Kashmir,33.1317,75.232
Udhampur,Jammu and Kashmir,33.1303,75.2327
Udhampur,Jammu and Kashmir,33.1247,75.2918
Udhampur,Jammu and Kashmir,33.103,75.3484
Udhampur,Jammu and Kashmir,33.0768,75.4115
Udhampur,Jammu and Kashmir,33.0572,75.4594
Udhampur,Jammu and Kashmir,33.0311,75.5117
Udhampur,Jammu and Kashmir,33.0006,75.553
Udhampur,Jammu and Kashmir,32.9702,75.5878
Udhampur,Jammu and Kashmir,32.9484,75.6357
Udhampur,Jammu and Kashmir,32.9375,75.6662
Udhampur,Jammu and Kashmir,32.9288,75.6988
Udhampur,Jammu and Kashmir,32.9049,75.7794
Udhampur,Jammu and Kashmir,32.9022,75.7984
Udhampur,Jammu and Kashmir,32.8973,75.7938
Udhampur,Jammu and Kashmir,32.894,75.7899
Udhampur,Jammu and Kashmir,32.8933,75.7874
Udhampur,Jammu and Kashmir,32.8846,75.7892
Udhampur,Jammu and Kashmir,32.8814,75.7898
Udhampur,Jammu and Kashmir,32.8702,75.7946
Udhampur,Jammu and Kashmir,32.8693,75.7954
Udhampur,Jammu and Kashmir,32.8636,75.7894
Udhampur,Jammu and Kashmir,32.8384,75.7846
Udhampur,Jammu and Kashmir,32.8143,75.7858
Udhampur,Jammu and Kashmir,32.7968,75.7785
Udhampur,Jammu and Kashmir,32.778,75.758
Udhampur,Jammu and Kashmir,32.7673,75.7335
Udhampur,Jammu and Kashmir,32.7585,75.7073
Udhampur,Jammu and Kashmir,32.7597,75.6637
Udhampur,Jammu and Kashmir,32.7565,75.6388
Udhampur,Jammu and Kashmir,32.7391,75.6218
Udhampur,Jammu and Kashmir,32.7204,75.6192
Udhampur,Jammu and Kashmir,32.7034,75.6241
Udhampur,Jammu and Kashmir,32.6788,75.6223
Udhampur,Jammu and Kashmir,32.6696,75.6003
Udhampur,Jammu and Kashmir,32.6669,75.5769
Udhampur,Jammu and Kashmir,32.6634,75.5571
Udhampur,Jammu and Kashmir,32.6634,75.5325
Udhampur,Jammu and Kashmir,32.6565,75.496
Udhampur,Jammu and Kashmir,32.647,75.4781
Udhampur,Jammu and Kashmir,32.6428,75.4635
Udhampur,Jammu and Kashmir,32.6345,75.4388
Udhampur,Jammu and Kashmir,32.609,75.4311
Udhampur,Jammu and Kashmir,32.6175,75.4257
Udhampur,Jammu and Kashmir,32.6243,75.4214
Udhampur,Jammu and Kashmir,32.6268,75.4198
Udhampur,Jammu and Kashmir,32.6273,75.4069
Udhampur,Jammu and Kashmir,32.6346,75.3784
Udhampur,Jammu and Kashmir,32.6341,75.3641
Udhampur,Jammu and Kashmir,32.642,75.3406
Udhampur,Jammu and Kashmir,32.6602,75.3177
Udhampur,Jammu and Kashmir,32.668,75.2891
Udhampur,Jammu and Kashmir,32.6872,75.2544
Udhampur,Jammu and Kashmir,32.7019,75.2388
Udhampur,Jammu and Kashmir,32.7209,75.2363
Udhampur,Jammu and Kashmir,32.7473,75.2482
Udhampur,Jammu and Kashmir,32.7722,75.2546
Udhampur,Jammu and Kashmir,32.7943,75.2514
Udhampur,Jammu and Kashmir,32.8167,75.2411
Udhampur,Jammu and Kashmir,32.8292,75.2261
Udhampur,Jammu and Kashmir,32.8388,75.2097
Udhampur,Jammu and Kashmir,32.8538,75.1874
Udhampur,Jammu and Kashmir,32.8658,75.1685
Udhampur,Jammu and Kashmir,32.8713,75.1584
Udhampur,Jammu and Kashmir,32.874,75.1444
Udhampur,Jammu and Kashmir,32.8773,75.134
Udhampur,Jammu and Kashmir,32.8763,75.1182
Udhampur,Jammu and Kashmir,32.8789,75.1007
Udhampur,Jammu and Kashmir,32.8834,75.0825
Udhampur,Jammu and Kashmir,32.8801,75.0689
Udhampur,Jammu and Kashmir,32.8899,75.0576
Udhampur,Jammu and Kashmir,32.9066,75.0445
Udhampur,Jammu and Kashmir,32.9308,75.033
Udhampur,Jammu and Kashmir,32.9297,75.0162
Udhampur,Jammu and Kashmir,32.9152,75.0011
Udhampur,Jammu and Kashmir,32.9133,74.9858
Udhampur,Jammu and Kashmir,32.9169,74.9708
Udhampur,Jammu and Kashmir,32.9308,74.9578
Udhampur,Jammu and Kashmir,32.9549,74.9565
Udhampur,Jammu and Kashmir,32.9734,74.9653
Udhampur,Jammu and Kashmir,32.9928,74.9633
Udhampur,Jammu and Kashmir,33.0206,74.9608
Udhampur,Jammu and Kashmir,33.0378,74.9507
Udhampur,Jammu and Kashmir,33.0532,74.9402
Udhampur,Jammu and Kashmir,33.0526,74.9213
Udhampur,Jammu and Kashmir,33.0514,74.9034
Udhampur,Jammu and Kashmir,33.0472,74.8903
Udhampur,Jammu and Kashmir,33.0429,74.8721
Udhampur,Jammu and Kashmir,33.0427,74.8553
Udhampur,Jammu and Kashmir,33.0422,74.8169
Udhampur,Jammu and Kashmir,33.0375,74.8008
Udhampur,Jammu and Kashmir,33.0253,74.7983
Udhampur,Jammu and Kashmir,33.0076,74.7972
Udhampur,Jammu and Kashmir,32.9903,74.794
Udhampur,Jammu and Kashmir,32.9761,74.7855
Udhampur,Jammu and Kashmir,32.9697,74.7746
Udhampur,Jammu and Kashmir,32.976,74.7563
Udhampur,Jammu and Kashmir,32.9841,74.7364
Udhampur,Jammu and Kashmir,32.9933,74.7088
Udhampur,Jammu and Kashmir,33.0005,74.6767
Udhampur,Jammu and Kashmir,33.0007,74.6756
Udhampur,Jammu and Kashmir,33.0308,74.6989
Udhampur,Jammu and Kashmir,33.0672,74.7084
Udhampur,Jammu and Kashmir,33.1067,74.7258
Udhampur,Jammu and Kashmir,33.1336,74.7321
Udhampur,Jammu and Kashmir,33.1541,74.7384
Udhampur,Jammu and Kashmir,33.1763,74.7384
Udhampur,Jammu and Kashmir,33.1889,74.7226
Udhampur,Jammu and Kashmir,33.1889,74.7021
Udhampur,Jammu and Kashmir,33.1921,74.6894
Udhampur,Jammu and Kashmir,33.2015,74.6847
Udhampur,Jammu and Kashmir,33.2142,74.6847
Udhampur,Jammu and Kashmir,33.2347,74.7036
Udhampur,Jammu and Kashmir,33.2426,74.7226
Udhampur,Jammu and Kashmir,33.2458,74.7463
Udhampur,Jammu and Kashmir,33.2379,74.7637
Udhampur,Jammu and Kashmir,33.2347,74.7906
Udhampur,Jammu and Kashmir,33.2363,74.8048
Udhampur,Jammu and Kashmir,33.2474,74.8048
Udhampur,Jammu and Kashmir,33.2648,74.7969
Udhampur,Jammu and Kashmir,33.279,74.7937
Udhampur,Jammu and Kashmir,33.2932,74.7874
Udhampur,Jammu and Kashmir,33.309,74.7795
Udhampur,Jammu and Kashmir,33.3296,74.7779
Udhampur,Jammu and Kashmir,33.3549,74.7795
Udhampur,Jammu and Kashmir,33.377,74.7937
Udhampur,Jammu and Kashmir,33.3992,74.8048
Udhampur,Jammu and Kashmir,33.4197,74.7985
Udhampur,Jammu and Kashmir,33.4498,74.7748
Udhampur,Jammu and Kashmir,33.4735,74.7621
Udhampur,Jammu and Kashmir,33.5079,74.7532
Udhampur,Jammu and Kashmir,33.5054,74.7716
Udhampur,Jammu and Kashmir,33.5044,74.7962
Udhampur,Jammu and Kashmir,33.5116,74.8153
Udhampur,Jammu and Kashmir,33.5251,74.8402
Udhampur,Jammu and Kashmir,33.5222,74.8772
Udhampur,Jammu and Kashmir,33.5152,74.9139
Anantnag (Kashmir South),Jammu and Kashmir,34.1916,75.7429
Anantnag (Kashmir South),Jammu and Kashmir,34.1789,75.7335
Anantnag (Kashmir South),Jammu and Kashmir,34.1615,75.714
Anantnag (Kashmir South),Jammu and Kashmir,34.1386,75.6982
Anantnag (Kashmir South),Jammu and Kashmir,34.1051,75.6826
Anantnag (Kashmir South),Jammu and Kashmir,34.0662,75.6595
Anantnag (Kashmir South),Jammu and Kashmir,34.0488,75.6409
Anantnag (Kashmir South),Jammu and Kashmir,34.0437,75.6156
Anantnag (Kashmir South),Jammu and Kashmir,34.0445,75.5992
Anantnag (Kashmir South),Jammu and Kashmir,34.0246,75.5761
Anantnag (Kashmir South),Jammu and Kashmir,34.0016,75.5574
Anantnag (Kashmir South),Jammu and Kashmir,33.9773,75.5402
Anantnag (Kashmir South),Jammu and Kashmir,33.9539,75.5363
Anantnag (Kashmir South),Jammu and Kashmir,33.9336,75.525
Anantnag (Kashmir South),Jammu and Kashmir,33.9062,75.5397
Anantnag (Kashmir South),Jammu and Kashmir,33.8717,75.561
Anantnag (Kashmir South),Jammu and Kashmir,33.8422,75.5784
Anantnag (Kashmir South),Jammu and Kashmir,33.8179,75.5868
Anantnag (Kashmir South),Jammu and Kashmir,33.7842,75.6177
Anantnag (Kashmir South),Jammu and Kashmir,33.7498,75.6312
Anantnag (Kashmir South),Jammu and Kashmir,33.7312,75.6301
Anantnag (Kashmir South),Jammu and Kashmir,33.7055,75.6243
Anantnag (Kashmir South),Jammu and Kashmir,33.6752,75.6223
Anantnag (Kashmir South),Jammu and Kashmir,33.6577,75.6385
Anantnag (Kashmir South),Jammu and Kashmir,33.6483,75.6482
Anantnag (Kashmir South),Jammu and Kashmir,33.62,75.662
Anantnag (Kashmir South),Jammu and Kashmir,33.6021,75.6557
Anantnag (Kashmir South),Jammu and Kashmir,33.5802,75.6512
Anantnag (Kashmir South),Jammu and Kashmir,33.5523,75.6398
Anantnag (Kashmir South),Jammu and Kashmir,33.526,75.6187
Anantnag (Kashmir South),Jammu and Kashmir,33.4946,75.6096
Anantnag (Kashmir South),Jammu and Kashmir,33.4526,75.5917
Anantnag (Kashmir South),Jammu and Kashmir,33.4328,75.5841
Anantnag (Kashmir South),Jammu and Kashmir,33.3934,75.5717
Anantnag (Kashmir South),Jammu and Kashmir,33.3748,75.5589
Anantnag (Kashmir South),Jammu and Kashmir,33.3714,75.5498
Anantnag (Kashmir South),Jammu and Kashmir,33.3692,75.5438
Anantnag (Kashmir South),Jammu and Kashmir,33.3767,75.5204
Anantnag (Kashmir South),Jammu and Kashmir,33.3798,75.4911
Anantnag (Kashmir South),Jammu and Kashmir,33.3982,75.4625
Anantnag (Kashmir South),Jammu and Kashmir,33.4198,75.4419
Anantnag (Kashmir South),Jammu and Kashmir,33.4436,75.4212
Anantnag (Kashmir South),Jammu and Kashmir,33.4611,75.4029
Anantnag (Kashmir South),Jammu and Kashmir,33.4787,75.3785
Anantnag (Kashmir South),Jammu and Kashmir,33.491,75.3574
Anantnag (Kashmir South),Jammu and Kashmir,33.5104,75.3303
Anantnag (Kashmir South),Jammu and Kashmir,33.5184,75.3058
Anantnag (Kashmir South),Jammu and Kashmir,33.5285,75.2909
Anantnag (Kashmir South),Jammu and Kashmir,33.5354,75.2891
Anantnag (Kashmir South),Jammu and Kashmir,33.5514,75.2954
Anantnag (Kashmir South),Jammu and Kashmir,33.5648,75.3055
Anantnag (Kashmir South),Jammu and Kashmir,33.5827,75.3143
Anantnag (Kashmir South),Jammu and Kashmir,33.5967,75.3033
Anantnag (Kashmir South),Jammu and Kashmir,33.5987,75.2817
Anantnag (Kashmir South),Jammu and Kashmir,33.5934,75.2615
Anantnag (Kashmir South),Jammu and Kashmir,33.5857,75.2435
Anantnag (Kashmir South),Jammu and Kashmir,33.5687,75.2346
Anantnag (Kashmir South),Jammu and Kashmir,33.5457,75.2404
Anantnag (Kashmir South),Jammu and Kashmir,33.5317,75.2514
Anantnag (Kashmir South),Jammu and Kashmir,33.5132,75.2411
Anantnag (Kashmir South),Jammu and Kashmir,33.5012,75.2161
Anantnag (Kashmir South),Jammu and Kashmir,33.5004,75.1951
Anantnag (Kashmir South),Jammu and Kashmir,33.4815,75.1864
Anantnag (Kashmir South),Jammu and Kashmir,33.4649,75.185
Anantnag (Kashmir South),Jammu and Kashmir,33.4674,75.1574
Anantnag (Kashmir South),Jammu and Kashmir,33.4734,75.131
Anantnag (Kashmir South),Jammu and Kashmir,33.4839,75.1121
Anantnag (Kashmir South),Jammu and Kashmir,33.4893,75.0944
Anantnag (Kashmir South),Jammu and Kashmir,33.4879,75.0688
Anantnag (Kashmir South),Jammu and Kashmir,33.4869,75.0402
