District,State,Latitude,Longitude
Bokaro,Jharkhand,23.9648,85.6753
Bokaro,Jharkhand,23.9643,85.6783
Bokaro,Jharkhand,23.9655,85.6851
Bokaro,Jharkhand,23.9617,85.693
Bokaro,Jharkhand,23.9598,85.6951
Bokaro,Jharkhand,23.9559,85.6939
Bokaro,Jharkhand,23.9566,85.6888
Bokaro,Jharkhand,23.9548,85.6855
Bokaro,Jharkhand,23.9479,85.6811
Bokaro,Jharkhand,23.9429,85.682
Bokaro,Jharkhand,23.9204,85.698
Bokaro,Jharkhand,23.9146,85.7057
Bokaro,Jharkhand,23.9152,85.7114
Bokaro,Jharkhand,23.9104,85.7129
Bokaro,Jharkhand,23.9044,85.7134
Bokaro,Jharkhand,23.9028,85.717
Bokaro,Jharkhand,23.9067,85.7186
Bokaro,Jharkhand,23.9106,85.7188
Bokaro,Jharkhand,23.9142,85.7212
Bokaro,Jharkhand,23.9209,85.7279
Bokaro,Jharkhand,23.9254,85.7378
Bokaro,Jharkhand,23.9289,85.736
Bokaro,Jharkhand,23.9318,85.7377
Bokaro,Jharkhand,23.9327,85.7409
Bokaro,Jharkhand,23.9293,85.7433
Bokaro,Jharkhand,23.9274,85.7467
Bokaro,Jharkhand,23.9254,85.7612
Bokaro,Jharkhand,23.9225,85.7635
Bokaro,Jharkhand,23.9091,85.7612
Bokaro,Jharkhand,23.9037,85.7659
Bokaro,Jharkhand,23.8993,85.7728
Bokaro,Jharkhand,23.8991,85.7802
Bokaro,Jharkhand,23.8957,85.7804
Bokaro,Jharkhand,23.8851,85.7824
Bokaro,Jharkhand,23.8822,85.7858
Bokaro,Jharkhand,23.8801,85.7956
Bokaro,Jharkhand,23.878,85.7974
Bokaro,Jharkhand,23.8726,85.7945
Bokaro,Jharkhand,23.8693,85.7954
Bokaro,Jharkhand,23.8673,85.7978
Bokaro,Jharkhand,23.8647,85.7994
Bokaro,Jharkhand,23.8623,85.7988
Bokaro,Jharkhand,23.8599,85.8
Bokaro,Jharkhand,23.8582,85.8031
Bokaro,Jharkhand,23.8554,85.8014
Bokaro,Jharkhand,23.845,85.8013
