District,State,Latitude,Longitude
Bagalkot,Karnataka,16.7649,75.4297
Bagalkot,Karnataka,16.7577,75.4409
Bagalkot,Karnataka,16.7534,75.4496
Bagalkot,Karnataka,16.7529,75.4571
Bagalkot,Karnataka,16.7533,75.466
Bagalkot,Karnataka,16.7453,75.48
Bagalkot,Karnataka,16.7432,75.4941
Bagalkot,Karnataka,16.7377,75.4958
Bagalkot,Karnataka,16.7265,75.4941
Bagalkot,Karnataka,16.7049,75.4949
Bagalkot,Karnataka,16.6961,75.4928
Bagalkot,Karnataka,16.6914,75.4862
Bagalkot,Karnataka,16.6962,75.4526
Bagalkot,Karnataka,16.695,75.4412
Bagalkot,Karnataka,16.6836,75.4439
Bagalkot,Karnataka,16.6615,75.4476
Bagalkot,Karnataka,16.6611,75.4575
Bagalkot,Karnataka,16.6484,75.4585
Bagalkot,Karnataka,16.6307,75.4627
Bagalkot,Karnataka,16.6195,75.4635
Bagalkot,Karnataka,16.6136,75.4681
Bagalkot,Karnataka,16.6085,75.4789
Bagalkot,Karnataka,16.6042,75.4852
Bagalkot,Karnataka,16.5978,75.4919
Bagalkot,Karnataka,16.5906,75.4944
Bagalkot,Karnataka,16.5836,75.4941
Bagalkot,Karnataka,16.576,75.4871
Bagalkot,Karnataka,16.5678,75.4862
Bagalkot,Karnataka,16.5637,75.4809
Bagalkot,Karnataka,16.563,75.476
Bagalkot,Karnataka,16.5584,75.4759
Bagalkot,Karnataka,16.5553,75.4857
Bagalkot,Karnataka,16.5471,75.4904
Bagalkot,Karnataka,16.5332,75.49
Bagalkot,Karnataka,16.5293,75.4893
Bagalkot,Karnataka,16.5264,75.4924
Bagalkot,Karnataka,16.5236,75.4927
Bagalkot,Karnataka,16.5216,75.4939
Bagalkot,Karnataka,16.5186,75.4913
Bagalkot,Karnataka,16.5169,75.4868
Bagalkot,Karnataka,16.5069,75.4884
Bagalkot,Karnataka,16.5065,75.4778
Bagalkot,Karnataka,16.5035,75.4581
Bagalkot,Karnataka,16.4732,75.4638
Bagalkot,Karnataka,16.4645,75.462
Bagalkot,Karnataka,16.4533,75.4532
Bagalkot,Karnataka,16.4411,75.4413
Bagalkot,Karnataka,16.4353,75.4366
Bagalkot,Karnataka,16.4267,75.4366
Bagalkot,Karnataka,16.4111,75.4519
Bagalkot,Karnataka,16.4095,75.4606
Bagalkot,Karnataka,16.4146,75.4687
Bagalkot,Karnataka,16.413,75.4797
Bagalkot,Karnataka,16.4173,75.495
Bagalkot,Karnataka,16.4249,75.5009
Bagalkot,Karnataka,16.4309,75.5022
Bagalkot,Karnataka,16.4401,75.4995
Bagalkot,Karnataka,16.4494,75.5006
Bagalkot,Karnataka,16.4592,75.5233
Bagalkot,Karnataka,16.4624,75.5379
Bagalkot,Karnataka,16.4604,75.5476
Bagalkot,Karnataka,16.4538,75.5544
Bagalkot,Karnataka,16.4451,75.5543
Bagalkot,Karnataka,16.4407,75.5534
Bagalkot,Karnataka,16.4289,75.557
Bagalkot,Karnataka,16.4198,75.5583
Bagalkot,Karnataka,16.4116,75.5635
Bagalkot,Karnataka,16.4074,75.5731
Bagalkot,Karnataka,16.4093,75.5782
Bagalkot,Karnataka,16.4179,75.5814
Bagalkot,Karnataka,16.4272,75.5868
Bagalkot,Karnataka,16.4355,75.5935
Bagalkot,Karnataka,16.4425,75.6059
Bagalkot,Karnataka,16.4438,75.6113
Bagalkot,Karnataka,16.4429,75.6196
Bagalkot,Karnataka,16.4419,75.6268
Bagalkot,Karnataka,16.4378,75.6446
Bagalkot,Karnataka,16.4315,75.6535
Bagalkot,Karnataka,16.4188,75.6765
Bagalkot,Karnataka,16.42,75.6798
Bagalkot,Karnataka,16.416,75.6849
Bagalkot,Karnataka,16.4115,75.689
Bagalkot,Karnataka,16.3985,75.7095
Bagalkot,Karnataka,16.3919,75.7174
Bagalkot,Karnataka,16.3879,75.7253
Bagalkot,Karnataka,16.3858,75.7348
Bagalkot,Karnataka,16.3845,75.747
Bagalkot,Karnataka,16.3774,75.7829
Bagalkot,Karnataka,16.3719,75.7892
Bagalkot,Karnataka,16.3684,75.7947
Bagalkot,Karnataka,16.3661,75.807
Bagalkot,Karnataka,16.3621,75.8176
Bagalkot,Karnataka,16.357,75.8263
Bagalkot,Karnataka,16.3484,75.8386
Bagalkot,Karnataka,16.346,75.8446
Bagalkot,Karnataka,16.344,75.8523
Bagalkot,Karnataka,16.3436,75.8662
Bagalkot,Karnataka,16.3406,75.8742
Bagalkot,Karnataka,16.3285,75.8858
Bagalkot,Karnataka,16.3235,75.8914
Bagalkot,Karnataka,16.3184,75.9072
Bagalkot,Karnataka,16.3175,75.9153
Bagalkot,Karnataka,16.316,75.9174
Bagalkot,Karnataka,16.311,75.9345
Bagalkot,Karnataka,16.3005,75.9494
Bagalkot,Karnataka,16.2948,75.9591
Bagalkot,Karnataka,16.2945,75.9673
Bagalkot,Karnataka,16.2966,75.9801
Bagalkot,Karnataka,16.2954,75.989
Bagalkot,Karnataka,16.2956,75.994
Bagalkot,Karnataka,16.2987,75.9999
Bagalkot,Karnataka,16.299,76.0127
Bagalkot,Karnataka,16.2979,76.0227
Bagalkot,Karnataka,16.2956,76.0279
Bagalkot,Karnataka,16.293,76.03
Bagalkot,Karnataka,16.2846,76.0342
Bagalkot,Karnataka,16.2812,76.0373
Bagalkot,Karnataka,16.2721,76.0494
Bagalkot,Karnataka,16.2676,76.0566
Bagalkot,Karnataka,16.2612,76.0632
Bagalkot,Karnataka,16.2559,76.0664
Bagalkot,Karnataka,16.2444,76.0685
Bagalkot,Karnataka,16.2384,76.068
Bagalkot,Karnataka,16.2275,76.0609
Bagalkot,Karnataka,16.2229,76.0594
Bagalkot,Karnataka,16.2165,76.0593
Bagalkot,Karnataka,16.211,76.0612
Bagalkot,Karnataka,16.2071,76.0632
Bagalkot,Karnataka,16.2049,76.0663
Bagalkot,Karnataka,16.2029,76.0706
Bagalkot,Karnataka,16.2011,76.0783
Bagalkot,Karnataka,16.2004,76.0864
Bagalkot,Karnataka,16.1896,76.1089
Bagalkot,Karnataka,16.1868,76.1198
Bagalkot,Karnataka,16.1774,76.1407
Bagalkot,Karnataka,16.18,76.1538
Bagalkot,Karnataka,16.181,76.1629
Bagalkot,Karnataka,16.1808,76.1691
Bagalkot,Karnataka,16.1743,76.1922
Bagalkot,Karnataka,16.1622,76.2399
Bagalkot,Karnataka,16.127,76.2343
Bagalkot,Karnataka,16.1231,76.2463
Bagalkot,Karnataka,16.108,76.2449
Bagalkot,Karnataka,16.1068,76.2537
Bagalkot,Karnataka,16.0946,76.2541
Bagalkot,Karnataka,16.0946,76.262
Bagalkot,Karnataka,16.0988,76.2666
Bagalkot,Karnataka,16.1046,76.2697
Bagalkot,Karnataka,16.1012,76.2901
Bagalkot,Karnataka,16.087,76.3332
Bagalkot,Karnataka,16.073,76.3282
Bagalkot,Karnataka,16.0788,76.3105
Bagalkot,Karnataka,16.0791,76.304
Bagalkot,Karnataka,16.0804,76.2986
Bagalkot,Karnataka,16.0841,76.2929
