District,State,Latitude,Longitude
Alappuzha,Kerala,9.5415,76.4043
Alappuzha,Kerala,9.5399,76.4043
Alappuzha,Kerala,9.5399,76.4046
Alappuzha,Kerala,9.5371,76.4046
Alappuzha,Kerala,9.5371,76.4049
Alappuzha,Kerala,9.5276,76.4049
Alappuzha,Kerala,9.5276,76.4021
Alappuzha,Kerala,9.5274,76.4021
Alappuzha,Kerala,9.5274,76.3832
Alappuzha,Kerala,9.5276,76.3832
Alappuzha,Kerala,9.5276,76.3829
Alappuzha,Kerala,9.5288,76.3829
Alappuzha,Kerala,9.5288,76.3826
Alappuzha,Kerala,9.529,76.3826
Alappuzha,Kerala,9.529,76.3829
Alappuzha,Kerala,9.5304,76.3829
Alappuzha,Kerala,9.5304,76.3826
Alappuzha,Kerala,9.5307,76.3826
Alappuzha,Kerala,9.5307,76.3829
Alappuzha,Kerala,9.5321,76.3829
Alappuzha,Kerala,9.5321,76.3826
Alappuzha,Kerala,9.5329,76.3826
Alappuzha,Kerala,9.5329,76.3821
Alappuzha,Kerala,9.5338,76.3821
Alappuzha,Kerala,9.5338,76.3824
Alappuzha,Kerala,9.534,76.3824
Alappuzha,Kerala,9.534,76.3829
Alappuzha,Kerala,9.5343,76.3829
Alappuzha,Kerala,9.5343,76.3838
Alappuzha,Kerala,9.5346,76.3838
Alappuzha,Kerala,9.5346,76.3846
Alappuzha,Kerala,9.5349,76.3846
Alappuzha,Kerala,9.5349,76.3851
Alappuzha,Kerala,9.5351,76.3851
Alappuzha,Kerala,9.5351,76.386
Alappuzha,Kerala,9.5354,76.386
Alappuzha,Kerala,9.5354,76.3868
Alappuzha,Kerala,9.5357,76.3868
Alappuzha,Kerala,9.5357,76.3876
Alappuzha,Kerala,9.536,76.3876
Alappuzha,Kerala,9.536,76.3885
Alappuzha,Kerala,9.5363,76.3885
Alappuzha,Kerala,9.5362,76.389
Alappuzha,Kerala,9.5365,76.389
Alappuzha,Kerala,9.5365,76.3899
Alappuzha,Kerala,9.5368,76.3899
Alappuzha,Kerala,9.5368,76.3907
Alappuzha,Kerala,9.5371,76.3907
Alappuzha,Kerala,9.5371,76.3915
Alappuzha,Kerala,9.5374,76.3915
Alappuzha,Kerala,9.5374,76.3924
Alappuzha,Kerala,9.5376,76.3924
Alappuzha,Kerala,9.5376,76.3932
Alappuzha,Kerala,9.5379,76.3932
Alappuzha,Kerala,9.5379,76.3938
Alappuzha,Kerala,9.5382,76.3938
Alappuzha,Kerala,9.5382,76.3946
Alappuzha,Kerala,9.5385,76.3946
Alappuzha,Kerala,9.5385,76.3954
Alappuzha,Kerala,9.5388,76.3954
Alappuzha,Kerala,9.5388,76.3962
Alappuzha,Kerala,9.539,76.3962
Alappuzha,Kerala,9.539,76.3971
Alappuzha,Kerala,9.5393,76.3971
Alappuzha,Kerala,9.5393,76.3976
Alappuzha,Kerala,9.5396,76.3976
Alappuzha,Kerala,9.5396,76.3985
Alappuzha,Kerala,9.5399,76.3985
Alappuzha,Kerala,9.5399,76.3993
Alappuzha,Kerala,9.5401,76.3993
Alappuzha,Kerala,9.5401,76.4001
Alappuzha,Kerala,9.5404,76.4001
Alappuzha,Kerala,9.5404,76.401
Alappuzha,Kerala,9.5407,76.401
Alappuzha,Kerala,9.5407,76.4015
Alappuzha,Kerala,9.541,76.4015
Alappuzha,Kerala,9.541,76.4024
Alappuzha,Kerala,9.5412,76.4024
Alappuzha,Kerala,9.5412,76.4032
Alappuzha,Kerala,9.5415,76.4032
Alappuzha,Kerala,9.5415,76.4043
Ernakulam,Kerala,9.8274,76.3829
Ernakulam,Kerala,9.8271,76.3829
Ernakulam,Kerala,9.8271,76.384
Ernakulam,Kerala,9.8268,76.384
Ernakulam,Kerala,9.8268,76.3843
Ernakulam,Kerala,9.8265,76.3843
Ernakulam,Kerala,9.8265,76.3849
Ernakulam,Kerala,9.8263,76.3849
Ernakulam,Kerala,9.8263,76.3851
Ernakulam,Kerala,9.826,76.3851
Ernakulam,Kerala,9.826,76.3857
Ernakulam,Kerala,9.8257,76.3857
Ernakulam,Kerala,9.8257,76.386
Ernakulam,Kerala,9.8254,76.386
Ernakulam,Kerala,9.8254,76.3865
Ernakulam,Kerala,9.8251,76.3865
Ernakulam,Kerala,9.8251,76.3868
Ernakulam,Kerala,9.8249,76.3868
Ernakulam,Kerala,9.8249,76.3871
Ernakulam,Kerala,9.8246,76.3871
Ernakulam,Kerala,9.8246,76.3876
Ernakulam,Kerala,9.8243,76.3876
Ernakulam,Kerala,9.8243,76.3879
Ernakulam,Kerala,9.824,76.3879
Ernakulam,Kerala,9.824,76.3885
Ernakulam,Kerala,9.8238,76.3885
Ernakulam,Kerala,9.8238,76.3887
Ernakulam,Kerala,9.8235,76.3887
Ernakulam,Kerala,9.8235,76.389
Ernakulam,Kerala,9.8232,76.389
Ernakulam,Kerala,9.8232,76.3896
Ernakulam,Kerala,9.8229,76.3896
Ernakulam,Kerala,9.8229,76.3899
Ernakulam,Kerala,9.8226,76.3899
