District,State,Latitude,Longitude
Kavaratti,Lakshadweep,10.544,72.6218
Kavaratti,Lakshadweep,10.544,72.6215
Kavaratti,Lakshadweep,10.5438,72.6215
Kavaratti,Lakshadweep,10.5438,72.6212
Kavaratti,Lakshadweep,10.5435,72.6212
Kavaratti,Lakshadweep,10.5435,72.621
Kavaratti,Lakshadweep,10.5432,72.621
Kavaratti,Lakshadweep,10.5432,72.6207
Kavaratti,Lakshadweep,10.5429,72.6207
Kavaratti,Lakshadweep,10.5429,72.6204
Kavaratti,Lakshadweep,10.5426,72.6204
Kavaratti,Lakshadweep,10.5426,72.6201
Kavaratti,Lakshadweep,10.5424,72.6201
Kavaratti,Lakshadweep,10.5424,72.6199
Kavaratti,Lakshadweep,10.5421,72.6199
Kavaratti,Lakshadweep,10.5421,72.6196
Kavaratti,Lakshadweep,10.5418,72.6196
Kavaratti,Lakshadweep,10.5418,72.619
Kavaratti,Lakshadweep,10.5415,72.619
Kavaratti,Lakshadweep,10.5415,72.6188
Kavaratti,Lakshadweep,10.5413,72.6188
Kavaratti,Lakshadweep,10.5413,72.6182
Kavaratti,Lakshadweep,10.541,72.6182
Kavaratti,Lakshadweep,10.541,72.6179
Kavaratti,Lakshadweep,10.5407,72.6179
Kavaratti,Lakshadweep,10.5407,72.6171
Kavaratti,Lakshadweep,10.5404,72.6171
Kavaratti,Lakshadweep,10.5404,72.6162
Kavaratti,Lakshadweep,10.5407,72.6162
Kavaratti,Lakshadweep,10.5407,72.6154
Kavaratti,Lakshadweep,10.541,72.6154
Kavaratti,Lakshadweep,10.541,72.6151
Kavaratti,Lakshadweep,10.5424,72.6151
Kavaratti,Lakshadweep,10.5424,72.6154
Kavaratti,Lakshadweep,10.5429,72.6154
Kavaratti,Lakshadweep,10.5429,72.6157
Kavaratti,Lakshadweep,10.5432,72.6157
Kavaratti,Lakshadweep,10.5432,72.616
Kavaratti,Lakshadweep,10.5435,72.616
Kavaratti,Lakshadweep,10.5435,72.6162
Kavaratti,Lakshadweep,10.544,72.6162
Kavaratti,Lakshadweep,10.544,72.6165
Kavaratti,Lakshadweep,10.5446,72.6165
Kavaratti,Lakshadweep,10.5446,72.6168
Kavaratti,Lakshadweep,10.5449,72.6168
Kavaratti,Lakshadweep,10.5449,72.6174
Kavaratti,Lakshadweep,10.5451,72.6174
Kavaratti,Lakshadweep,10.5451,72.6179
Kavaratti,Lakshadweep,10.5454,72.6179
Kavaratti,Lakshadweep,10.5454,72.6185
Kavaratti,Lakshadweep,10.5457,72.6185
Kavaratti,Lakshadweep,10.5457,72.6193
Kavaratti,Lakshadweep,10.546,72.6193
Kavaratti,Lakshadweep,10.546,72.6199
Kavaratti,Lakshadweep,10.5463,72.6199
Kavaratti,Lakshadweep,10.5463,72.6204
Kavaratti,Lakshadweep,10.5465,72.6204
Kavaratti,Lakshadweep,10.5465,72.6208
Kavaratti,Lakshadweep,10.5465,72.6224
Kavaratti,Lakshadweep,10.5468,72.6224
Kavaratti,Lakshadweep,10.5468,72.6229
Kavaratti,Lakshadweep,10.5471,72.6229
Kavaratti,Lakshadweep,10.5471,72.6232
Kavaratti,Lakshadweep,10.5476,72.6232
Kavaratti,Lakshadweep,10.5476,72.6235
