District,State,Latitude,Longitude
Bishnupur,Manipur,24.7344,93.7909
Bishnupur,Manipur,24.7331,93.801
Bishnupur,Manipur,24.7356,93.8067
Bishnupur,Manipur,24.7243,93.8253
Bishnupur,Manipur,24.7231,93.8339
Bishnupur,Manipur,24.7243,93.844
Bishnupur,Manipur,24.7199,93.8741
Bishnupur,Manipur,24.7149,93.8841
Bishnupur,Manipur,24.7149,93.8941
Bishnupur,Manipur,24.7111,93.8927
Bishnupur,Manipur,24.7061,93.8941
Bishnupur,Manipur,24.7023,93.8941
Bishnupur,Manipur,24.6947,93.8926
Bishnupur,Manipur,24.6846,93.8782
Bishnupur,Manipur,24.6821,93.8696
Bishnupur,Manipur,24.6808,93.8495
Bishnupur,Manipur,24.6859,93.8481
Bishnupur,Manipur,24.6846,93.838
Bishnupur,Manipur,24.6734,93.8021
Bishnupur,Manipur,24.6482,93.8063
Bishnupur,Manipur,24.6406,93.8192
Bishnupur,Manipur,24.6343,93.8162
Bishnupur,Manipur,24.6268,93.8076
Bishnupur,Manipur,24.6205,93.8076
Bishnupur,Manipur,24.6142,93.8133
Bishnupur,Manipur,24.6117,93.8219
Bishnupur,Manipur,24.6292,93.8506
Bishnupur,Manipur,24.6279,93.8549
Bishnupur,Manipur,24.6254,93.8578
Bishnupur,Manipur,24.6204,93.8549
Bishnupur,Manipur,24.6141,93.8577
Bishnupur,Manipur,24.6166,93.8706
Bishnupur,Manipur,24.6141,93.8735
Bishnupur,Manipur,24.6091,93.8749
Bishnupur,Manipur,24.6041,93.8735
Bishnupur,Manipur,24.5905,93.8906
Bishnupur,Manipur,24.5856,93.8921
Bishnupur,Manipur,24.5819,93.8906
Bishnupur,Manipur,24.5757,93.8734
Bishnupur,Manipur,24.5683,93.8706
Bishnupur,Manipur,24.5571,93.8777
Bishnupur,Manipur,24.5431,93.8719
Bishnupur,Manipur,24.5308,93.8719
Bishnupur,Manipur,24.5251,93.8717
Bishnupur,Manipur,24.5225,93.8731
Bishnupur,Manipur,24.5238,93.876
Bishnupur,Manipur,24.5225,93.8789
Bishnupur,Manipur,24.5123,93.8787
Bishnupur,Manipur,24.511,93.883
Bishnupur,Manipur,24.5059,93.8816
Bishnupur,Manipur,24.5033,93.8772
Bishnupur,Manipur,24.497,93.8843
Bishnupur,Manipur,24.4932,93.8858
Bishnupur,Manipur,24.4894,93.8843
Bishnupur,Manipur,24.4869,93.8814
Bishnupur,Manipur,24.4793,93.8771
Bishnupur,Manipur,24.4743,93.8756
Bishnupur,Manipur,24.4655,93.867
Bishnupur,Manipur,24.4643,93.8627
Bishnupur,Manipur,24.4618,93.8584
Bishnupur,Manipur,24.4592,93.8612
Bishnupur,Manipur,24.4567,93.8612
Bishnupur,Manipur,24.4542,93.8584
Bishnupur,Manipur,24.4467,93.8583
Bishnupur,Manipur,24.4442,93.8555
Bishnupur,Manipur,24.4379,93.8526
Bishnupur,Manipur,24.4379,93.8483
Bishnupur,Manipur,24.4329,93.8426
Bishnupur,Manipur,24.4279,93.8425
Bishnupur,Manipur,24.4166,93.8511
Bishnupur,Manipur,24.4153,93.8453
Bishnupur,Manipur,24.4128,93.8439
Bishnupur,Manipur,24.4078,93.8453
Bishnupur,Manipur,24.404,93.8496
Bishnupur,Manipur,24.4003,93.851
Bishnupur,Manipur,24.3877,93.8509
Bishnupur,Manipur,24.3839,93.8538
Bishnupur,Manipur,24.3827,93.8538
Bishnupur,Manipur,24.3802,93.8509
Bishnupur,Manipur,24.3677,93.8523
Bishnupur,Manipur,24.3664,93.8566
Bishnupur,Manipur,24.3626,93.8565
Bishnupur,Manipur,24.3601,93.8537
Bishnupur,Manipur,24.3551,93.8537
Bishnupur,Manipur,24.3576,93.8594
Bishnupur,Manipur,24.3601,93.8623
Bishnupur,Manipur,24.3563,93.8651
Bishnupur,Manipur,24.3526,93.8608
Bishnupur,Manipur,24.3464,93.8565
Bishnupur,Manipur,24.3389,93.8665
Bishnupur,Manipur,24.3351,93.8636
Bishnupur,Manipur,24.3289,93.8636
Bishnupur,Manipur,24.3314,93.8579
