District,State,Latitude,Longitude
West Khasi Hills,Meghalaya,25.3977,90.7628
West Khasi Hills,Meghalaya,25.405,90.762
West Khasi Hills,Meghalaya,25.4127,90.7634
West Khasi Hills,Meghalaya,25.4207,90.7636
West Khasi Hills,Meghalaya,25.4256,90.7596
West Khasi Hills,Meghalaya,25.4317,90.7574
West Khasi Hills,Meghalaya,25.4397,90.7577
West Khasi Hills,Meghalaya,25.4461,90.7618
West Khasi Hills,Meghalaya,25.4493,90.7604
West Khasi Hills,Meghalaya,25.4512,90.7574
West Khasi Hills,Meghalaya,25.4549,90.7593
West Khasi Hills,Meghalaya,25.4559,90.7654
West Khasi Hills,Meghalaya,25.453,90.7772
West Khasi Hills,Meghalaya,25.4643,90.7845
West Khasi Hills,Meghalaya,25.4682,90.7852
West Khasi Hills,Meghalaya,25.4693,90.7816
West Khasi Hills,Meghalaya,25.4685,90.7739
West Khasi Hills,Meghalaya,25.472,90.772
West Khasi Hills,Meghalaya,25.4756,90.7745
West Khasi Hills,Meghalaya,25.4792,90.7871
West Khasi Hills,Meghalaya,25.4861,90.7919
West Khasi Hills,Meghalaya,25.4905,90.7925
West Khasi Hills,Meghalaya,25.4963,90.7893
West Khasi Hills,Meghalaya,25.502,90.789
West Khasi Hills,Meghalaya,25.5077,90.7902
West Khasi Hills,Meghalaya,25.511,90.7877
West Khasi Hills,Meghalaya,25.5269,90.7811
West Khasi Hills,Meghalaya,25.5357,90.7805
West Khasi Hills,Meghalaya,25.5406,90.7774
West Khasi Hills,Meghalaya,25.5437,90.7684
West Khasi Hills,Meghalaya,25.5508,90.7644
West Khasi Hills,Meghalaya,25.5542,90.7664
West Khasi Hills,Meghalaya,25.5576,90.7672
West Khasi Hills,Meghalaya,25.5619,90.7664
West Khasi Hills,Meghalaya,25.5681,90.7719
West Khasi Hills,Meghalaya,25.574,90.7729
West Khasi Hills,Meghalaya,25.5792,90.7765
West Khasi Hills,Meghalaya,25.5855,90.7789
West Khasi Hills,Meghalaya,25.5828,90.784
West Khasi Hills,Meghalaya,25.5723,90.7896
West Khasi Hills,Meghalaya,25.5726,90.7928
West Khasi Hills,Meghalaya,25.5776,90.7942
West Khasi Hills,Meghalaya,25.5817,90.7997
