District,State,Latitude,Longitude
Aizawl,Mizoram,24.4033,93.0005
Aizawl,Mizoram,24.3905,93.0244
Aizawl,Mizoram,24.38,93.0171
Aizawl,Mizoram,24.3742,93.0221
Aizawl,Mizoram,24.366,93.0201
Aizawl,Mizoram,24.3588,93.0193
Aizawl,Mizoram,24.3468,93.0216
Aizawl,Mizoram,24.3445,93.0318
Aizawl,Mizoram,24.3434,93.0434
Aizawl,Mizoram,24.3184,93.0352
Aizawl,Mizoram,24.3007,93.0239
Aizawl,Mizoram,24.2932,93.0182
Aizawl,Mizoram,24.2881,93.0111
Aizawl,Mizoram,24.2805,93.0082
Aizawl,Mizoram,24.2717,93.0139
Aizawl,Mizoram,24.2628,93.0067
Aizawl,Mizoram,24.254,93.0067
Aizawl,Mizoram,24.2364,93.018
Aizawl,Mizoram,24.2326,93.0266
Aizawl,Mizoram,24.2288,93.0194
Aizawl,Mizoram,24.2251,93.0194
Aizawl,Mizoram,24.2176,93.0237
Aizawl,Mizoram,24.2101,93.0223
Aizawl,Mizoram,24.2075,93.018
Aizawl,Mizoram,24.2,93.0166
Aizawl,Mizoram,24.1975,93.0124
Aizawl,Mizoram,24.1975,93.003
Aizawl,Mizoram,24.1943,93.0031
Aizawl,Mizoram,24.1822,93.0109
Aizawl,Mizoram,24.174,93.0033
Aizawl,Mizoram,24.1632,93.0055
Aizawl,Mizoram,24.1606,93.0054
Aizawl,Mizoram,24.1567,93.0007
Aizawl,Mizoram,24.1532,92.9931
Aizawl,Mizoram,24.1503,92.9911
Aizawl,Mizoram,24.1469,92.9909
Aizawl,Mizoram,24.1404,92.9929
Aizawl,Mizoram,24.1318,92.9894
Aizawl,Mizoram,24.1289,92.9861
Aizawl,Mizoram,24.1264,92.9776
Aizawl,Mizoram,24.1239,92.9736
Aizawl,Mizoram,24.117,92.9749
Aizawl,Mizoram,24.1148,92.9764
Aizawl,Mizoram,24.1148,92.9848
Aizawl,Mizoram,24.1163,92.9893
Aizawl,Mizoram,24.1167,92.9964
Aizawl,Mizoram,24.1152,93.0007
Aizawl,Mizoram,24.11,93.0097
Aizawl,Mizoram,24.1045,93.0141
Aizawl,Mizoram,24.1015,93.0215
