District,State,Latitude,Longitude
Dimapur,Nagaland,25.9059,93.9608
Dimapur,Nagaland,25.8919,93.9772
Dimapur,Nagaland,25.8838,93.9861
Dimapur,Nagaland,25.8741,93.9804
Dimapur,Nagaland,25.8643,93.9675
Dimapur,Nagaland,25.8587,93.9715
Dimapur,Nagaland,25.8563,93.978
Dimapur,Nagaland,25.8563,93.9853
Dimapur,Nagaland,25.8563,93.9942
Dimapur,Nagaland,25.8506,93.999
Dimapur,Nagaland,25.8417,94.0128
Dimapur,Nagaland,25.8352,94.0128
Dimapur,Nagaland,25.8271,94.0112
Dimapur,Nagaland,25.8166,94.0063
Dimapur,Nagaland,25.8101,94.0063
Dimapur,Nagaland,25.8004,94.0063
Dimapur,Nagaland,25.7907,94.0015
Dimapur,Nagaland,25.7842,93.9958
Dimapur,Nagaland,25.7721,93.9829
Dimapur,Nagaland,25.7575,93.9715
Dimapur,Nagaland,25.747,93.9634
Dimapur,Nagaland,25.7349,93.9578
Dimapur,Nagaland,25.7139,93.9278
Dimapur,Nagaland,25.6847,93.9028
Dimapur,Nagaland,25.6685,93.8874
Dimapur,Nagaland,25.654,93.8696
Dimapur,Nagaland,25.6451,93.868
Dimapur,Nagaland,25.6443,93.8623
Dimapur,Nagaland,25.6499,93.8477
Dimapur,Nagaland,25.6556,93.8316
Dimapur,Nagaland,25.6556,93.8097
Dimapur,Nagaland,25.6524,93.7903
Dimapur,Nagaland,25.6516,93.779
Dimapur,Nagaland,25.6516,93.7685
Dimapur,Nagaland,25.654,93.7604
Dimapur,Nagaland,25.6596,93.749
Dimapur,Nagaland,25.6669,93.7418
Dimapur,Nagaland,25.6774,93.7337
Dimapur,Nagaland,25.6888,93.7329
Dimapur,Nagaland,25.6952,93.7361
Dimapur,Nagaland,25.7074,93.7353
Dimapur,Nagaland,25.7114,93.732
Dimapur,Nagaland,25.7058,93.7231
Dimapur,Nagaland,25.7025,93.707
Dimapur,Nagaland,25.6961,93.6827
Dimapur,Nagaland,25.6961,93.6714
Dimapur,Nagaland,25.6888,93.6592
Dimapur,Nagaland,25.675,93.6495
Dimapur,Nagaland,25.6629,93.6447
Dimapur,Nagaland,25.6588,93.6341
Dimapur,Nagaland,25.6588,93.6244
Dimapur,Nagaland,25.6645,93.6131
Dimapur,Nagaland,25.6702,93.6018
Dimapur,Nagaland,25.6774,93.5913
Dimapur,Nagaland,25.6799,93.5791
Dimapur,Nagaland,25.6799,93.5662
Dimapur,Nagaland,25.6799,93.5541
Dimapur,Nagaland,25.6847,93.5379
Dimapur,Nagaland,25.694,93.5315
Dimapur,Nagaland,25.7032,93.538
Dimapur,Nagaland,25.7017,93.5436
Dimapur,Nagaland,25.7059,93.5444
Dimapur,Nagaland,25.7102,93.5459
Dimapur,Nagaland,25.7147,93.5488
Dimapur,Nagaland,25.719,93.5498
Dimapur,Nagaland,25.7215,93.5462
Dimapur,Nagaland,25.727,93.5448
Dimapur,Nagaland,25.7345,93.5467
Dimapur,Nagaland,25.7324,93.5499
Dimapur,Nagaland,25.7377,93.5569
Dimapur,Nagaland,25.7419,93.5563
Dimapur,Nagaland,25.7409,93.5619
Dimapur,Nagaland,25.7413,93.5655
Dimapur,Nagaland,25.7517,93.5701
Dimapur,Nagaland,25.755,93.5693
