District,State,Latitude,Longitude
Koraput,Orissa,18.4249,83.0486
Koraput,Orissa,18.4291,83.0583
Koraput,Orissa,18.4286,83.0598
Koraput,Orissa,18.4239,83.0612
Koraput,Orissa,18.4209,83.0621
Koraput,Orissa,18.4192,83.0606
Koraput,Orissa,18.4135,83.0605
Koraput,Orissa,18.4134,83.0604
Koraput,Orissa,18.4081,83.0553
Koraput,Orissa,18.4044,83.0558
Koraput,Orissa,18.399,83.059
Koraput,Orissa,18.3957,83.0637
Koraput,Orissa,18.3932,83.0658
Koraput,Orissa,18.3923,83.0665
Koraput,Orissa,18.3894,83.0658
Koraput,Orissa,18.3773,83.0562
Koraput,Orissa,18.3753,83.0534
Koraput,Orissa,18.3701,83.0395
Koraput,Orissa,18.3698,83.037
Koraput,Orissa,18.3733,83.0319
Koraput,Orissa,18.3764,83.0238
Koraput,Orissa,18.3835,83.0201
Koraput,Orissa,18.3845,83.0172
Koraput,Orissa,18.3782,83.0116
Koraput,Orissa,18.3769,83.0035
Koraput,Orissa,18.3749,82.9971
Koraput,Orissa,18.3748,82.9929
Koraput,Orissa,18.375,82.992
Koraput,Orissa,18.3695,82.9876
Koraput,Orissa,18.3659,82.9861
Koraput,Orissa,18.3658,82.9812
Koraput,Orissa,18.361,82.9784
Koraput,Orissa,18.3549,82.9764
Koraput,Orissa,18.3576,82.9688
Koraput,Orissa,18.3572,82.9598
Koraput,Orissa,18.3558,82.956
Koraput,Orissa,18.3543,82.952
Koraput,Orissa,18.3521,82.9482
Koraput,Orissa,18.3505,82.9455
Koraput,Orissa,18.3514,82.9327
Koraput,Orissa,18.361,82.9276
Koraput,Orissa,18.3597,82.9201
Koraput,Orissa,18.3564,82.9151
Koraput,Orissa,18.3574,82.9117
Koraput,Orissa,18.3594,82.9084
Koraput,Orissa,18.3559,82.9027
Koraput,Orissa,18.3593,82.8985
Koraput,Orissa,18.3669,82.8919
Koraput,Orissa,18.3786,82.8849
Koraput,Orissa,18.3922,82.891
Koraput,Orissa,18.3986,82.8908
Koraput,Orissa,18.4063,82.8884
Koraput,Orissa,18.4128,82.8846
Koraput,Orissa,18.4146,82.8794
Koraput,Orissa,18.4118,82.8771
Koraput,Orissa,18.4062,82.87
Koraput,Orissa,18.4079,82.863
Koraput,Orissa,18.4108,82.856
Koraput,Orissa,18.415,82.8486
