District,State,Latitude,Longitude
Karaikal,Puducherry,10.8265,79.8449
Karaikal,Puducherry,10.8263,79.8449
Karaikal,Puducherry,10.8263,79.8454
Karaikal,Puducherry,10.8257,79.8454
Karaikal,Puducherry,10.8257,79.8449
Karaikal,Puducherry,10.8254,79.8449
Karaikal,Puducherry,10.8254,79.844
Karaikal,Puducherry,10.8251,79.844
Karaikal,Puducherry,10.8251,79.8435
Karaikal,Puducherry,10.8249,79.8435
Karaikal,Puducherry,10.8249,79.8429
Karaikal,Puducherry,10.8246,79.8429
Karaikal,Puducherry,10.8246,79.8421
Karaikal,Puducherry,10.8243,79.8421
Karaikal,Puducherry,10.8243,79.8415
Karaikal,Puducherry,10.824,79.8415
Karaikal,Puducherry,10.824,79.8404
Karaikal,Puducherry,10.8238,79.8404
Karaikal,Puducherry,10.8238,79.8401
Karaikal,Puducherry,10.8243,79.8401
Karaikal,Puducherry,10.8243,79.8404
Karaikal,Puducherry,10.8246,79.8404
Karaikal,Puducherry,10.8246,79.841
Karaikal,Puducherry,10.8249,79.841
Karaikal,Puducherry,10.8249,79.8412
Karaikal,Puducherry,10.8251,79.8412
Karaikal,Puducherry,10.8251,79.8418
Karaikal,Puducherry,10.8254,79.8418
Karaikal,Puducherry,10.8254,79.8424
Karaikal,Puducherry,10.8257,79.8424
Karaikal,Puducherry,10.8257,79.8429
Karaikal,Puducherry,10.826,79.8429
Karaikal,Puducherry,10.826,79.8435
Karaikal,Puducherry,10.8263,79.8435
Karaikal,Puducherry,10.8263,79.844
Karaikal,Puducherry,10.8265,79.844
Karaikal,Puducherry,10.8265,79.8449
Mahe,Puducherry,12.0241,75.2307
Mahe,Puducherry,12.0246,75.2311
Mahe,Puducherry,12.0319,75.2249
Mahe,Puducherry,12.0443,75.2274
Mahe,Puducherry,12.0545,75.2237
Mahe,Puducherry,12.0644,75.2231
Mahe,Puducherry,12.0744,75.2242
Mahe,Puducherry,12.0782,75.2223
Mahe,Puducherry,12.0856,75.2225
Mahe,Puducherry,12.101,75.2211
Mahe,Puducherry,12.1048,75.2231
Mahe,Puducherry,12.1102,75.2366
Mahe,Puducherry,12.1093,75.2405
Mahe,Puducherry,12.1047,75.2434
Mahe,Puducherry,12.1037,75.2474
Mahe,Puducherry,12.1086,75.2559
Mahe,Puducherry,12.1089,75.2599
Mahe,Puducherry,12.1037,75.266
Mahe,Puducherry,12.1003,75.2745
Mahe,Puducherry,12.1018,75.2778
Mahe,Puducherry,12.1091,75.282
Mahe,Puducherry,12.115,75.2839
Mahe,Puducherry,12.1161,75.2928
Mahe,Puducherry,12.1247,75.3107
Mahe,Puducherry,12.132,75.3099
Mahe,Puducherry,12.1365,75.3112
Mahe,Puducherry,12.1401,75.3143
Mahe,Puducherry,12.1435,75.3206
Mahe,Puducherry,12.1449,75.3252
Mahe,Puducherry,12.1452,75.3311
Mahe,Puducherry,12.144,75.3352
Mahe,Puducherry,12.1372,75.3419
Mahe,Puducherry,12.1386,75.3462
Mahe,Puducherry,12.1353,75.3478
Mahe,Puducherry,12.135,75.3636
Mahe,Puducherry,12.1354,75.3667
Mahe,Puducherry,12.1401,75.3683
Mahe,Puducherry,12.1426,75.3715
Mahe,Puducherry,12.1465,75.372
Mahe,Puducherry,12.1491,75.3746
Mahe,Puducherry,12.146,75.3784
Mahe,Puducherry,12.1463,75.3885
Mahe,Puducherry,12.1455,75.3939
Mahe,Puducherry,12.1405,75.3998
Mahe,Puducherry,12.1368,75.4025
Mahe,Puducherry,12.1341,75.4022
Mahe,Puducherry,12.1299,75.3982
Mahe,Puducherry,12.1263,75.3922
Mahe,Puducherry,12.124,75.3831
Mahe,Puducherry,12.1291,75.3823
Mahe,Puducherry,12.1264,75.3799
Mahe,Puducherry,12.1221,75.3793
Mahe,Puducherry,12.1234,75.3755
Mahe,Puducherry,12.1213,75.3685
Mahe,Puducherry,12.1169,75.3659
Mahe,Puducherry,12.1161,75.3627
Mahe,Puducherry,12.1129,75.3579
Mahe,Puducherry,12.1094,75.3553
Mahe,Puducherry,12.1089,75.3519
Mahe,Puducherry,12.0983,75.3399
Mahe,Puducherry,12.0986,75.336
Mahe,Puducherry,12.1026,75.33
Mahe,Puducherry,12.1073,75.3282
Mahe,Puducherry,12.1067,75.3196
Mahe,Puducherry,12.1053,75.3129
Mahe,Puducherry,12.1027,75.3091
Mahe,Puducherry,12.0906,75.3096
Mahe,Puducherry,12.0876,75.3148
Mahe,Puducherry,12.0784,75.3092
Mahe,Puducherry,12.0668,75.2992
Mahe,Puducherry,12.0637,75.2974
Mahe,Puducherry,12.0592,75.2962
Mahe,Puducherry,12.058,75.3007
Mahe,Puducherry,12.0529,75.3048
Mahe,Puducherry,12.0538,75.3088
Mahe,Puducherry,12.0493,75.3117
Mahe,Puducherry,12.0493,75.3101
Mahe,Puducherry,12.049,75.3101
Mahe,Puducherry,12.049,75.3099
Mahe,Puducherry,12.0493,75.3099
Mahe,Puducherry,12.0493,75.3085
Mahe,Puducherry,12.049,75.3085
Mahe,Puducherry,12.049,75.3082
Mahe,Puducherry,12.0487,75.3082
