District,State,Latitude,Longitude
Ajmer,Rajasthan,25.8652,74.0077
Ajmer,Rajasthan,25.8337,74.0442
Ajmer,Rajasthan,25.8289,74.0529
Ajmer,Rajasthan,25.8308,74.0551
Ajmer,Rajasthan,25.8198,74.062
Ajmer,Rajasthan,25.8125,74.0631
Ajmer,Rajasthan,25.8063,74.0686
Ajmer,Rajasthan,25.7998,74.0777
Ajmer,Rajasthan,25.7944,74.0883
Ajmer,Rajasthan,25.7888,74.0916
Ajmer,Rajasthan,25.7857,74.0945
Ajmer,Rajasthan,25.7826,74.0946
Ajmer,Rajasthan,25.7761,74.091
Ajmer,Rajasthan,25.773,74.0928
Ajmer,Rajasthan,25.769,74.0922
Ajmer,Rajasthan,25.7674,74.0841
Ajmer,Rajasthan,25.7615,74.0682
Ajmer,Rajasthan,25.7578,74.0556
Ajmer,Rajasthan,25.7532,74.0481
Ajmer,Rajasthan,25.7472,74.0406
Ajmer,Rajasthan,25.7486,74.0268
Ajmer,Rajasthan,25.7484,74.0159
Ajmer,Rajasthan,25.7426,74.0096
Ajmer,Rajasthan,25.7281,73.9984
Ajmer,Rajasthan,25.7267,73.9962
Ajmer,Rajasthan,25.7207,73.9859
Ajmer,Rajasthan,25.7181,73.9794
Ajmer,Rajasthan,25.7157,73.9771
Ajmer,Rajasthan,25.7099,73.9869
Ajmer,Rajasthan,25.7117,73.9918
Ajmer,Rajasthan,25.7102,73.9963
Ajmer,Rajasthan,25.7095,73.9984
Ajmer,Rajasthan,25.7077,74.0072
Ajmer,Rajasthan,25.7055,74.0119
Ajmer,Rajasthan,25.7,74.0111
Ajmer,Rajasthan,25.6962,74.0075
Ajmer,Rajasthan,25.6918,73.9985
Ajmer,Rajasthan,25.69,73.9964
Ajmer,Rajasthan,25.6804,73.9847
Ajmer,Rajasthan,25.6737,73.9877
Ajmer,Rajasthan,25.6706,73.9868
Ajmer,Rajasthan,25.6701,73.9807
Ajmer,Rajasthan,25.6557,73.9562
Ajmer,Rajasthan,25.6523,73.9484
Ajmer,Rajasthan,25.661,73.9436
Ajmer,Rajasthan,25.6685,73.9411
Ajmer,Rajasthan,25.6723,73.9379
Ajmer,Rajasthan,25.6747,73.9317
Ajmer,Rajasthan,25.6794,73.9304
Ajmer,Rajasthan,25.6822,73.9257
Ajmer,Rajasthan,25.6868,73.9056
Ajmer,Rajasthan,25.6994,73.9129
Ajmer,Rajasthan,25.7095,73.9108
Ajmer,Rajasthan,25.7329,73.9094
Ajmer,Rajasthan,25.742,73.9059
Ajmer,Rajasthan,25.7513,73.9117
Ajmer,Rajasthan,25.7537,73.9133
Ajmer,Rajasthan,25.762,73.9209
Ajmer,Rajasthan,25.7714,73.9314
Ajmer,Rajasthan,25.7832,73.93
Ajmer,Rajasthan,25.7954,73.9235
Ajmer,Rajasthan,25.8055,73.9417
Ajmer,Rajasthan,25.8126,73.9441
Ajmer,Rajasthan,25.8219,73.9421
Ajmer,Rajasthan,25.8327,73.9428
Ajmer,Rajasthan,25.8425,73.9501
Ajmer,Rajasthan,25.8408,73.958
Ajmer,Rajasthan,25.8359,73.97
Ajmer,Rajasthan,25.8506,73.975
Ajmer,Rajasthan,25.8577,73.9836
Ajmer,Rajasthan,25.8633,73.9916
Ajmer,Rajasthan,25.8639,73.9956
Ajmer,Rajasthan,25.8643,73.9981
Ajmer,Rajasthan,25.8665,74.0047
Ajmer,Rajasthan,25.8652,74.0077
Alwar,Rajasthan,28.2252,76.8543
Alwar,Rajasthan,28.2232,76.8577
Alwar,Rajasthan,28.2246,76.8636
Alwar,Rajasthan,28.218,76.8658
Alwar,Rajasthan,28.2115,76.8662
Alwar,Rajasthan,28.2104,76.8793
Alwar,Rajasthan,28.2105,76.8867
Alwar,Rajasthan,28.2076,76.8967
Alwar,Rajasthan,28.2048,76.8998
Alwar,Rajasthan,28.1967,76.8857
Alwar,Rajasthan,28.1947,76.8839
Alwar,Rajasthan,28.1917,76.884
Alwar,Rajasthan,28.1878,76.8901
Alwar,Rajasthan,28.1793,76.8991
Alwar,Rajasthan,28.1719,76.912
Alwar,Rajasthan,28.1623,76.9211
Alwar,Rajasthan,28.1589,76.9275
Alwar,Rajasthan,28.1553,76.9378
Alwar,Rajasthan,28.1552,76.9416
Alwar,Rajasthan,28.1509,76.9405
Alwar,Rajasthan,28.1487,76.9417
Alwar,Rajasthan,28.146,76.9565
Alwar,Rajasthan,28.144,76.9618
Alwar,Rajasthan,28.1237,76.9558
Alwar,Rajasthan,28.1117,76.9555
Alwar,Rajasthan,28.0961,76.9511
Alwar,Rajasthan,28.0787,76.9481
Alwar,Rajasthan,28.0713,76.9466
Alwar,Rajasthan,28.0668,76.9425
Alwar,Rajasthan,28.0596,76.938
Alwar,Rajasthan,28.0481,76.9336
Alwar,Rajasthan,28.042,76.9319
Alwar,Rajasthan,28.0305,76.9307
Alwar,Rajasthan,28.0125,76.9266
Alwar,Rajasthan,28.0057,76.9216
Alwar,Rajasthan,27.9976,76.9186
Alwar,Rajasthan,27.9858,76.9223
Alwar,Rajasthan,27.9784,76.9249
Alwar,Rajasthan,27.9658,76.9228
Alwar,Rajasthan,27.9528,76.9195
Alwar,Rajasthan,27.9408,76.9191
Alwar,Rajasthan,27.9249,76.9191
Alwar,Rajasthan,27.9211,76.9213
Alwar,Rajasthan,27.9214,76.9299
Alwar,Rajasthan,27.919,76.9388
Alwar,Rajasthan,27.9075,76.9367
Alwar,Rajasthan,27.896,76.9382
Alwar,Rajasthan,27.8944,76.9261
Alwar,Rajasthan,27.8884,76.9261
Alwar,Rajasthan,27.8768,76.9248
Alwar,Rajasthan,27.8671,76.9283
Alwar,Rajasthan,27.8552,76.9299
Alwar,Rajasthan,27.844,76.9281
Alwar,Rajasthan,27.8342,76.9266
Alwar,Rajasthan,27.8318,76.9219
Alwar,Rajasthan,27.8346,76.915
Alwar,Rajasthan,27.8359,76.9079
Alwar,Rajasthan,27.8327,76.9038
Alwar,Rajasthan,27.8254,76.9011
Alwar,Rajasthan,27.8211,76.9004
Alwar,Rajasthan,27.8126,76.9052
Alwar,Rajasthan,27.8077,76.9066
Alwar,Rajasthan,27.8013,76.9028
Alwar,Rajasthan,27.7949,76.9039
Alwar,Rajasthan,27.7911,76.8987
Alwar,Rajasthan,27.7861,76.8956
Alwar,Rajasthan,27.7793,76.8936
Alwar,Rajasthan,27.772,76.8923
Alwar,Rajasthan,27.7612,76.8914
Alwar,Rajasthan,27.742,76.8906
Alwar,Rajasthan,27.7372,76.8879
Alwar,Rajasthan,27.7309,76.8841
Alwar,Rajasthan,27.7244,76.8833
Alwar,Rajasthan,27.7196,76.8885
Alwar,Rajasthan,27.7185,76.8954
Alwar,Rajasthan,27.7164,76.9028
Alwar,Rajasthan,27.7121,76.9083
Alwar,Rajasthan,27.7061,76.9122
Alwar,Rajasthan,27.7008,76.9146
Alwar,Rajasthan,27.6966,76.9104
Alwar,Rajasthan,27.6958,76.906
Alwar,Rajasthan,27.6946,76.9003
Alwar,Rajasthan,27.6983,76.8935
Alwar,Rajasthan,27.7017,76.888
Alwar,Rajasthan,27.7034,76.8828
Alwar,Rajasthan,27.6994,76.8809
Alwar,Rajasthan,27.6955,76.8831
Alwar,Rajasthan,27.6928,76.8886
Alwar,Rajasthan,27.6897,76.8947
Alwar,Rajasthan,27.686,76.8967
Alwar,Rajasthan,27.6833,76.894
Alwar,Rajasthan,27.6799,76.8916
Alwar,Rajasthan,27.6769,76.8932
Alwar,Rajasthan,27.6724,76.8972
Alwar,Rajasthan,27.668,76.9001
