District,State,Latitude,Longitude
East,Sikkim,27.4142,88.806
East,Sikkim,27.4112,88.8071
East,Sikkim,27.4086,88.8081
East,Sikkim,27.4052,88.8093
East,Sikkim,27.4048,88.8101
East,Sikkim,27.4043,88.8101
East,Sikkim,27.4032,88.8114
East,Sikkim,27.403,88.8118
East,Sikkim,27.4026,88.8118
East,Sikkim,27.4007,88.8175
East,Sikkim,27.3993,88.8192
East,Sikkim,27.3993,88.8193
East,Sikkim,27.3992,88.8193
East,Sikkim,27.3974,88.8208
East,Sikkim,27.3957,88.8217
East,Sikkim,27.3941,88.8224
East,Sikkim,27.3914,88.8254
East,Sikkim,27.391,88.8254
East,Sikkim,27.3906,88.8254
East,Sikkim,27.3888,88.8312
East,Sikkim,27.3865,88.8327
East,Sikkim,27.3865,88.8332
East,Sikkim,27.3865,88.8335
East,Sikkim,27.3861,88.8335
East,Sikkim,27.3858,88.8342
East,Sikkim,27.3846,88.8344
East,Sikkim,27.3829,88.8347
East,Sikkim,27.3824,88.8355
East,Sikkim,27.3788,88.8383
East,Sikkim,27.3782,88.8398
East,Sikkim,27.3777,88.8413
East,Sikkim,27.3779,88.8423
East,Sikkim,27.3791,88.8441
East,Sikkim,27.3797,88.8445
East,Sikkim,27.3809,88.8472
East,Sikkim,27.3827,88.8483
East,Sikkim,27.3828,88.8484
East,Sikkim,27.3836,88.849
East,Sikkim,27.3863,88.8527
East,Sikkim,27.3868,88.8565
East,Sikkim,27.3859,88.8588
East,Sikkim,27.3836,88.8616
East,Sikkim,27.3825,88.8621
East,Sikkim,27.3807,88.8631
East,Sikkim,27.3798,88.8647
East,Sikkim,27.3682,88.8672
East,Sikkim,27.3674,88.8688
East,Sikkim,27.3672,88.8694
East,Sikkim,27.3669,88.8705
East,Sikkim,27.3644,88.8792
East,Sikkim,27.3644,88.8792
East,Sikkim,27.3632,88.881
East,Sikkim,27.3577,88.8832
East,Sikkim,27.3468,88.8851
East,Sikkim,27.3455,88.8856
East,Sikkim,27.3384,88.8886
East,Sikkim,27.3382,88.8891
East,Sikkim,27.3364,88.8899
East,Sikkim,27.3339,88.8939
East,Sikkim,27.3335,88.894
East,Sikkim,27.3331,88.896
East,Sikkim,27.3334,88.8971
East,Sikkim,27.3344,88.9005
East,Sikkim,27.3307,88.9069
East,Sikkim,27.3301,88.9079
East,Sikkim,27.3304,88.9092
East,Sikkim,27.331,88.9119
East,Sikkim,27.3302,88.9142
East,Sikkim,27.3296,88.9154
East,Sikkim,27.3266,88.9218
East,Sikkim,27.3263,88.9224
East,Sikkim,27.3256,88.9216
East,Sikkim,27.3225,88.9187
East,Sikkim,27.3222,88.9184
East,Sikkim,27.3187,88.9149
East,Sikkim,27.318,88.9142
East,Sikkim,27.3164,88.9135
East,Sikkim,27.3093,88.9125
East,Sikkim,27.3059,88.9095
East,Sikkim,27.3017,88.9092
East,Sikkim,27.3016,88.9091
East,Sikkim,27.3005,88.9091
East,Sikkim,27.2983,88.9099
East,Sikkim,27.298,88.9104
East,Sikkim,27.2931,88.9105
East,Sikkim,27.2835,88.9073
East,Sikkim,27.2824,88.9065
East,Sikkim,27.2788,88.9038
East,Sikkim,27.2772,88.902
East,Sikkim,27.275,88.8992
East,Sikkim,27.2752,88.8979
East,Sikkim,27.2752,88.8976
East,Sikkim,27.2751,88.8972
East,Sikkim,27.275,88.8961
East,Sikkim,27.274,88.8945
East,Sikkim,27.2739,88.8942
East,Sikkim,27.2731,88.8929
East,Sikkim,27.2691,88.8833
East,Sikkim,27.2661,88.8799
East,Sikkim,27.2661,88.8793
East,Sikkim,27.2629,88.8772
East,Sikkim,27.2609,88.8767
East,Sikkim,27.2591,88.8732
East,Sikkim,27.2588,88.8724
East,Sikkim,27.2622,88.8638
East,Sikkim,27.2613,88.8562
East,Sikkim,27.2617,88.8471
East,Sikkim,27.2608,88.8438
East,Sikkim,27.2613,88.8431
East,Sikkim,27.2631,88.8352
East,Sikkim,27.2624,88.8309
East,Sikkim,27.2626,88.8304
East,Sikkim,27.2621,88.8304
East,Sikkim,27.2606,88.8271
East,Sikkim,27.2601,88.8241
East,Sikkim,27.2587,88.8232
East,Sikkim,27.2576,88.8226
East,Sikkim,27.2565,88.82
East,Sikkim,27.256,88.82
East,Sikkim,27.2555,88.82
East,Sikkim,27.255,88.8189
East,Sikkim,27.2524,88.8122
East,Sikkim,27.2522,88.8102
East,Sikkim,27.2476,88.8011
East,Sikkim,27.2462,88.8003
East,Sikkim,27.2372,88.7996
East,Sikkim,27.2347,88.7996
East,Sikkim,27.2331,88.8001
East,Sikkim,27.2207,88.8007
East,Sikkim,27.2157,88.7992
East,Sikkim,27.2085,88.7952
East,Sikkim,27.2045,88.7919
East,Sikkim,27.2043,88.7913
