District,State,Latitude,Longitude
Mahoba,Uttar Pradesh,25.1163,79.8427
Mahoba,Uttar Pradesh,25.1105,79.8458
Mahoba,Uttar Pradesh,25.1028,79.8531
Mahoba,Uttar Pradesh,25.0985,79.8559
Mahoba,Uttar Pradesh,25.097,79.8492
Mahoba,Uttar Pradesh,25.0964,79.8409
Mahoba,Uttar Pradesh,25.0981,79.8313
Mahoba,Uttar Pradesh,25.1001,79.8272
Mahoba,Uttar Pradesh,25.1037,79.8243
Mahoba,Uttar Pradesh,25.1064,79.8233
Mahoba,Uttar Pradesh,25.1102,79.8187
Mahoba,Uttar Pradesh,25.1109,79.8164
Mahoba,Uttar Pradesh,25.111,79.8052
Mahoba,Uttar Pradesh,25.1184,79.7933
Mahoba,Uttar Pradesh,25.1204,79.7883
Mahoba,Uttar Pradesh,25.1253,79.7692
Mahoba,Uttar Pradesh,25.1298,79.7627
Mahoba,Uttar Pradesh,25.1345,79.7577
Mahoba,Uttar Pradesh,25.1407,79.7511
Mahoba,Uttar Pradesh,25.1426,79.7478
Mahoba,Uttar Pradesh,25.1439,79.7456
Mahoba,Uttar Pradesh,25.143,79.7396
Mahoba,Uttar Pradesh,25.1357,79.726
Mahoba,Uttar Pradesh,25.1354,79.7246
Mahoba,Uttar Pradesh,25.1338,79.7178
Mahoba,Uttar Pradesh,25.1333,79.7073
Mahoba,Uttar Pradesh,25.1369,79.687
Mahoba,Uttar Pradesh,25.137,79.6766
Mahoba,Uttar Pradesh,25.1358,79.6742
Mahoba,Uttar Pradesh,25.1321,79.6708
Mahoba,Uttar Pradesh,25.1271,79.6662
Mahoba,Uttar Pradesh,25.128,79.6605
Mahoba,Uttar Pradesh,25.1295,79.6566
Mahoba,Uttar Pradesh,25.1305,79.6542
Mahoba,Uttar Pradesh,25.1324,79.643
Mahoba,Uttar Pradesh,25.1324,79.6407
Mahoba,Uttar Pradesh,25.1311,79.6378
Mahoba,Uttar Pradesh,25.1328,79.6329
Mahoba,Uttar Pradesh,25.1427,79.62
Mahoba,Uttar Pradesh,25.1325,79.6061
Mahoba,Uttar Pradesh,25.1322,79.6051
Mahoba,Uttar Pradesh,25.1314,79.6021
Mahoba,Uttar Pradesh,25.1314,79.5979
Mahoba,Uttar Pradesh,25.1341,79.5952
Mahoba,Uttar Pradesh,25.1356,79.5954
Mahoba,Uttar Pradesh,25.1396,79.5975
Mahoba,Uttar Pradesh,25.1453,79.5985
Mahoba,Uttar Pradesh,25.1531,79.6028
Mahoba,Uttar Pradesh,25.1538,79.6028
Mahoba,Uttar Pradesh,25.1548,79.6028
Mahoba,Uttar Pradesh,25.155,79.6
Mahoba,Uttar Pradesh,25.1464,79.5933
Mahoba,Uttar Pradesh,25.1463,79.5923
Mahoba,Uttar Pradesh,25.1463,79.5914
Mahoba,Uttar Pradesh,25.1468,79.5905
Mahoba,Uttar Pradesh,25.1473,79.5897
Mahoba,Uttar Pradesh,25.1529,79.5857
Mahoba,Uttar Pradesh,25.1571,79.5763
Mahoba,Uttar Pradesh,25.1595,79.574
Mahoba,Uttar Pradesh,25.1755,79.5689
Mahoba,Uttar Pradesh,25.1776,79.5655
Mahoba,Uttar Pradesh,25.176,79.5596
Mahoba,Uttar Pradesh,25.1694,79.5503
Mahoba,Uttar Pradesh,25.1606,79.5427
Mahoba,Uttar Pradesh,25.1526,79.538
Mahoba,Uttar Pradesh,25.1476,79.5349
