District,State,Latitude,Longitude
Bageshwar,Uttaranchal,30.0124,79.6733
Bageshwar,Uttaranchal,30.011,79.6783
Bageshwar,Uttaranchal,30.0086,79.6821
Bageshwar,Uttaranchal,30.0082,79.684
Bageshwar,Uttaranchal,30.0083,79.692
Bageshwar,Uttaranchal,30.0104,79.7273
Bageshwar,Uttaranchal,30.0111,79.734
Bageshwar,Uttaranchal,30.0109,79.7396
Bageshwar,Uttaranchal,30.013,79.7535
Bageshwar,Uttaranchal,30.0091,79.7592
Bageshwar,Uttaranchal,30.0086,79.7628
Bageshwar,Uttaranchal,30.0121,79.7704
Bageshwar,Uttaranchal,30.0196,79.7776
Bageshwar,Uttaranchal,30.02,79.7841
Bageshwar,Uttaranchal,30.0212,79.7893
Bageshwar,Uttaranchal,30.023,79.7933
Bageshwar,Uttaranchal,30.0276,79.8006
Bageshwar,Uttaranchal,30.0353,79.7991
Bageshwar,Uttaranchal,30.0468,79.8014
Bageshwar,Uttaranchal,30.0516,79.8046
Bageshwar,Uttaranchal,30.0543,79.8097
Bageshwar,Uttaranchal,30.0611,79.8156
Bageshwar,Uttaranchal,30.0663,79.8104
Bageshwar,Uttaranchal,30.0747,79.8042
Bageshwar,Uttaranchal,30.0806,79.7937
Bageshwar,Uttaranchal,30.0817,79.7796
Bageshwar,Uttaranchal,30.0828,79.7742
Bageshwar,Uttaranchal,30.0919,79.7693
Bageshwar,Uttaranchal,30.1012,79.7657
Bageshwar,Uttaranchal,30.1056,79.7655
Bageshwar,Uttaranchal,30.1137,79.7674
Bageshwar,Uttaranchal,30.1196,79.7668
Bageshwar,Uttaranchal,30.125,79.7618
Bageshwar,Uttaranchal,30.1329,79.7585
Bageshwar,Uttaranchal,30.1357,79.756
Bageshwar,Uttaranchal,30.1387,79.7509
Bageshwar,Uttaranchal,30.1416,79.7506
Bageshwar,Uttaranchal,30.1437,79.7518
Bageshwar,Uttaranchal,30.1497,79.7578
Bageshwar,Uttaranchal,30.1561,79.7669
