District,State,Latitude,Longitude
Haora,West Bengal,22.4225,87.8969
Haora,West Bengal,22.4222,87.8972
Haora,West Bengal,22.4222,87.8978
Haora,West Bengal,22.4219,87.8981
Haora,West Bengal,22.4219,87.8983
Haora,West Bengal,22.4217,87.8986
Haora,West Bengal,22.4217,87.8997
Haora,West Bengal,22.4214,87.9
Haora,West Bengal,22.4214,87.9031
Haora,West Bengal,22.4215,87.9032
Haora,West Bengal,22.4217,87.9033
Haora,West Bengal,22.4217,87.9081
Haora,West Bengal,22.4219,87.9083
Haora,West Bengal,22.4219,87.9092
Haora,West Bengal,22.4222,87.9094
Haora,West Bengal,22.4222,87.91
Haora,West Bengal,22.4219,87.9103
Haora,West Bengal,22.4219,87.9106
Haora,West Bengal,22.4222,87.9108
Haora,West Bengal,22.4219,87.9117
Haora,West Bengal,22.4217,87.9119
Haora,West Bengal,22.4217,87.9125
Haora,West Bengal,22.4206,87.9136
Haora,West Bengal,22.4203,87.9139
Haora,West Bengal,22.42,87.9139
Haora,West Bengal,22.4192,87.9147
Haora,West Bengal,22.4189,87.9147
Haora,West Bengal,22.4186,87.915
Haora,West Bengal,22.4183,87.915
Haora,West Bengal,22.4174,87.9159
Haora,West Bengal,22.4172,87.9155
Haora,West Bengal,22.4122,87.9108
Haora,West Bengal,22.4146,87.9042
Haora,West Bengal,22.4398,87.8766
Haora,West Bengal,22.4445,87.8736
Haora,West Bengal,22.4546,87.8741
Haora,West Bengal,22.4681,87.8863
Haora,West Bengal,22.4713,87.8961
Haora,West Bengal,22.4753,87.8947
Haora,West Bengal,22.4806,87.8868
Haora,West Bengal,22.4844,87.8827
Haora,West Bengal,22.494,87.8767
Haora,West Bengal,22.4976,87.8771
Haora,West Bengal,22.5056,87.8822
Haora,West Bengal,22.51,87.8864
Haora,West Bengal,22.5152,87.8886
Haora,West Bengal,22.522,87.8853
Haora,West Bengal,22.5244,87.8826
Haora,West Bengal,22.5261,87.8793
Haora,West Bengal,22.5276,87.875
Haora,West Bengal,22.5277,87.8719
Haora,West Bengal,22.5294,87.8659
Haora,West Bengal,22.536,87.8605
Haora,West Bengal,22.5443,87.8498
Haora,West Bengal,22.548,87.8466
Haora,West Bengal,22.5575,87.8418
Haora,West Bengal,22.5659,87.8455
Haora,West Bengal,22.571,87.8454
Haora,West Bengal,22.5779,87.8484
Haora,West Bengal,22.583,87.851
Haora,West Bengal,22.5854,87.8547
Haora,West Bengal,22.594,87.8512
Haora,West Bengal,22.5998,87.8553
Haora,West Bengal,22.6045,87.8575
Haora,West Bengal,22.6053,87.8613
Haora,West Bengal,22.6022,87.8761
Haora,West Bengal,22.5997,87.8782
Haora,West Bengal,22.6002,87.88
Haora,West Bengal,22.6047,87.8823
Haora,West Bengal,22.6062,87.8842
Haora,West Bengal,22.6064,87.8865
Haora,West Bengal,22.6048,87.8884
Haora,West Bengal,22.6086,87.8923
Haora,West Bengal,22.6125,87.8985
Haora,West Bengal,22.6142,87.8997
Haora,West Bengal,22.6208,87.8984
Haora,West Bengal,22.6234,87.8987
Haora,West Bengal,22.6255,87.8999
Haora,West Bengal,22.6269,87.9021
Haora,West Bengal,22.628,87.9053
Haora,West Bengal,22.627,87.9136
Haora,West Bengal,22.6273,87.919
Haora,West Bengal,22.6329,87.9202
Haora,West Bengal,22.6294,87.9263
Haora,West Bengal,22.6264,87.9367
Haora,West Bengal,22.6286,87.9382
Haora,West Bengal,22.6346,87.9386
Haora,West Bengal,22.6451,87.9296
Haora,West Bengal,22.6586,87.9278
Haora,West Bengal,22.6718,87.9275
Haora,West Bengal,22.6852,87.9233
Haora,West Bengal,22.6866,87.9253
Haora,West Bengal,22.6896,87.9266
Haora,West Bengal,22.6925,87.9289
Haora,West Bengal,22.6948,87.9343
Haora,West Bengal,22.6968,87.9372
Haora,West Bengal,22.704,87.9396
Haora,West Bengal,22.7274,87.9445
Haora,West Bengal,22.737,87.9485
Haora,West Bengal,22.7422,87.9473
Haora,West Bengal,22.7538,87.9467
Haora,West Bengal,22.7597,87.9467
Haora,West Bengal,22.7641,87.9478
Haora,West Bengal,22.7677,87.9496
Haora,West Bengal,22.7703,87.9521
Haora,West Bengal,22.7712,87.9611
Haora,West Bengal,22.7683,87.965
Haora,West Bengal,22.7752,87.976
Haora,West Bengal,22.7763,87.9849
Haora,West Bengal,22.7749,87.988
Haora,West Bengal,22.7697,87.9911
North 24 Parganas,West Bengal,21.6521,88.8924
North 24 Parganas,West Bengal,21.6517,88.8926
North 24 Parganas,West Bengal,21.6514,88.8929
North 24 Parganas,West Bengal,21.6506,88.8938
North 24 Parganas,West Bengal,21.6503,88.8939
North 24 Parganas,West Bengal,21.6497,88.8944
North 24 Parganas,West Bengal,21.6492,88.8939
North 24 Parganas,West Bengal,21.6492,88.8933
